,RowTree,d13C,totalN,totalC,CurrentName,Voucher,Provenance.x,YearPlanted,FieldID,DNNumber,Taxon,Collector,Collector.s..,Latitude.degrees..south.,Latitude.minutes..south.,Latitude.seconds..south.,Longitude.degrees..east.,Longitude.minutes..east.,Longitude.seconds..east.,Row,Tree,Status.in.Feb.2016,Drought.stress..June.2019.,Time.since.death..June.2019.,X2006.dieback.death,Maturity.at.June.2019,UniqueID,Yearplanted,Current.name,TaxonoriginalDN,Section,Diam.1.Bark,Diam.1.peeled,Diam.2.Bark,Diam.2.peeled,bark.thickness,WD,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Provenance.y,Drought2006Scale,latitude,longitude,Stateoccurrence,Regeneration.Strategy,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
155,R066/T19,-28.44,0.8,47.1,Eucalyptus normantonensis,DN 1207,"MacDonnell Ranges, NT",1995,CCA1130,1207,Eucalyptus normantonensis,D.Nicolle,1207,23,38,9,132,34,2,66,19,Alive,None evident,,None evident,,1207,1995,Eucalyptus normantonensis,Eucalyptus normantonensis,Adnataria,7.69,5.57,7.46,5.4,2.09,2.894952381,1.05,3.0397,0.76,"MacDonnell Ranges, NT",0,-23.63583333,132.5672222,"NT,Qld,WA",Lignotuber,1146,2825,0.1146,21.89166641,28.63333321,13.96666622,324,50,9,54.86532593,142,31,138,38,14.76666641,46.87830734,601.4030151,36.59999847,5.099999905,31.49999809,27.96666718,16,0.2825,323.7175,
156,R066/T20,-28.31,0.8,50.5,Eucalyptus normantonensis,DN 1207,"MacDonnell Ranges, NT",1995,CCA1131,1207,Eucalyptus normantonensis,D.Nicolle,1207,23,38,9,132,34,2,66,20,Alive,None evident,,None evident,Flowered,1207,1995,Eucalyptus normantonensis,Eucalyptus normantonensis,Adnataria,8.47,6.64,8.57,6.72,1.84,1.908820225,1.78,3.3977,1.14,"MacDonnell Ranges, NT",0,-23.63583333,132.5672222,"NT,Qld,WA",Lignotuber,1146,2825,0.1146,21.89166641,28.63333321,13.96666622,324,50,9,54.86532593,142,31,138,38,14.76666641,46.87830734,601.4030151,36.59999847,5.099999905,31.49999809,27.96666718,16,0.2825,323.7175,
157,R066/T21,-27.62,1.3,48.7,Eucalyptus normantonensis,DN 1207,"MacDonnell Ranges, NT",1995,CCA1132,1207,Eucalyptus normantonensis,D.Nicolle,1207,23,38,9,132,34,2,66,21,Alive,None evident,,None evident,Flowered,1207,1995,Eucalyptus normantonensis,Eucalyptus normantonensis,Adnataria,6.32,5.26,6.62,4.76,1.46,2.901052632,0.95,2.756,0.68,"MacDonnell Ranges, NT",0,-23.63583333,132.5672222,"NT,Qld,WA",Lignotuber,1146,2825,0.1146,21.89166641,28.63333321,13.96666622,324,50,9,54.86532593,142,31,138,38,14.76666641,46.87830734,601.4030151,36.59999847,5.099999905,31.49999809,27.96666718,16,0.2825,323.7175,
158,R066/T25,-30.26,1.4,48.4,Eucalyptus camaldulensis subsp. arida,DN 1206,"MacDonnell Ranges, NT",1995,CCA1135,1206,Eucalyptus camaldulensis subsp. arida,D.Nicolle,1206,23,12,15,131,33,37,66,25,Alive,Severe,,None evident,,1206,1995,Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,Exsertaria,7.21,6.04,7.08,6.19,1.03,2.366241135,1.41,3.3364,0.8,"MacDonnell Ranges, NT",0,-23.20416667,131.5602778,"WA,NT,Qld,SA,NSW",Combination,1260,3031,0.126,23.72083282,30.31666565,15.6833334,382,75,5,66.77604675,186,31,179,38,15.54166698,48.56770706,601.673645,38.5,6.5,32,29.66666603,17.76666641,0.3031,381.6969,
159,R066/T26,-28.84,1.7,49.8,Eucalyptus camaldulensis subsp. arida,DN 1206,"MacDonnell Ranges, NT",1995,CCA1136,1206,Eucalyptus camaldulensis subsp. arida,D.Nicolle,1206,23,12,15,131,33,37,66,26,Alive,Severe,,None evident,,1206,1995,Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,Exsertaria,8.47,6.83,8.77,7.09,1.66,2.338882353,1.7,3.9761,0.9,"MacDonnell Ranges, NT",0,-23.20416667,131.5602778,"WA,NT,Qld,SA,NSW",Combination,1260,3031,0.126,23.72083282,30.31666565,15.6833334,382,75,5,66.77604675,186,31,179,38,15.54166698,48.56770706,601.673645,38.5,6.5,32,29.66666603,17.76666641,0.3031,381.6969,
160,R066/T27,-28.83,1.3,48.5,Eucalyptus camaldulensis subsp. arida,DN 1206,"MacDonnell Ranges, NT",1995,CCA1137,1206,Eucalyptus camaldulensis subsp. arida,D.Nicolle,1206,23,12,15,131,33,37,66,27,Alive,Severe,,None evident,,1206,1995,Eucalyptus camaldulensis subsp. arida,Eucalyptus camaldulensis subsp. arida,Exsertaria,7.04,5.62,6.79,5.42,1.395,3.131333333,1.35,4.2273,0.77,"MacDonnell Ranges, NT",0,-23.20416667,131.5602778,"WA,NT,Qld,SA,NSW",Combination,1260,3031,0.126,23.72083282,30.31666565,15.6833334,382,75,5,66.77604675,186,31,179,38,15.54166698,48.56770706,601.673645,38.5,6.5,32,29.66666603,17.76666641,0.3031,381.6969,
161,R066/T29,-28.51,1.1,50,Eucalyptus largiflorens,DN 980,"Wentworth, NSW",1995,CCA1139,980,Eucalyptus largiflorens,D.Nicolle,980,34,0,48,141,55,33,66,29,Alive,None evident,,None evident,,980,1995,Eucalyptus largiflorens,Eucalyptus largiflorens,Adnataria,11.35,9.1,10.87,8.73,2.195,0.756029851,3.35,2.5327,2.2,"Wentworth, NSW",0,-34.01333333,141.9258333,"Vic,NSW,SA,Qld",Combination,1374,2109,0.1374,17.65833,24.38333,10.98333,290,31,16,17.01355,90,59,67,78,14.06667,49.35673,543.3266,33.1,4.6,28.5,14.51667,21.45,0.2109,289.7891,
162,R066/T32,-27.94,1,51,Eucalyptus largiflorens,DN 980,"Wentworth, NSW",1995,CCA1142,980,Eucalyptus largiflorens,D.Nicolle,980,34,0,48,141,55,33,66,32,Alive,None evident,,None evident,Flowered,980,1995,Eucalyptus largiflorens,Eucalyptus largiflorens,Adnataria,11.96,7.25,9.45,9.41,2.375,1.119808429,2.61,2.9227,1.91,"Wentworth, NSW",0,-34.01333333,141.9258333,"Vic,NSW,SA,Qld",Combination,1374,2109,0.1374,17.65833,24.38333,10.98333,290,31,16,17.01355,90,59,67,78,14.06667,49.35673,543.3266,33.1,4.6,28.5,14.51667,21.45,0.2109,289.7891,
163,R066/T33,-29.8,1,50.3,Eucalyptus largiflorens,DN 980,"Wentworth, NSW",1995,CCA1143,980,Eucalyptus largiflorens,D.Nicolle,980,34,0,48,141,55,33,66,33,Alive,None evident,,None evident,Flowered,980,1995,Eucalyptus largiflorens,Eucalyptus largiflorens,Adnataria,9.04,7.13,8.86,7.2,1.785,0.712583732,2.09,1.4893,1.39,"Wentworth, NSW",0,-34.01333333,141.9258333,"Vic,NSW,SA,Qld",Combination,1374,2109,0.1374,17.65833,24.38333,10.98333,290,31,16,17.01355,90,59,67,78,14.06667,49.35673,543.3266,33.1,4.6,28.5,14.51667,21.45,0.2109,289.7891,
164,R066/T34,-28.82,0.9,49.8,Eucalyptus odorata,DN 822,"Kangaroo Island, SA",1995,CCA1144,822,Eucalyptus odorata,D.Nicolle,822,35,41,35,137,31,52,66,34,Alive,None evident,,None evident,Flowered,822,1995,Eucalyptus odorata,Eucalyptus odorata,Adnataria,10.57,9.06,10.79,7.69,2.305,1.106992754,2.76,3.0553,2.01,"Kangaroo Island, SA",0,-35.69305556,137.5311111,"SA,Vic",Combination,2834,1686,0.2834,15.97083,20.23333,11.88333,478,77,11,58.495,217,45,45,217,9.241667,50.50091,344.3139,26.2,7.9,18.3,11.88333,20.23333,0.1686,477.8314,
165,R066/T36,-28.33,1.3,49,Eucalyptus odorata,DN 822,"Kangaroo Island, SA",1995,CCA1146,822,Eucalyptus odorata,D.Nicolle,822,35,41,35,137,31,52,66,36,Alive,None evident,,None evident,Flowered,822,1995,Eucalyptus odorata,Eucalyptus odorata,Adnataria,10.22,8.01,10.14,8.14,2.105,0.764056225,2.49,1.9025,1.8,"Kangaroo Island, SA",0,-35.69305556,137.5311111,"SA,Vic",Combination,2834,1686,0.2834,15.97083,20.23333,11.88333,478,77,11,58.495,217,45,45,217,9.241667,50.50091,344.3139,26.2,7.9,18.3,11.88333,20.23333,0.1686,477.8314,
166,R066/T37,-28.53,0.9,51.1,Eucalyptus odorata,DN 822,"Kangaroo Island, SA",1995,CCA1147,822,Eucalyptus odorata,D.Nicolle,822,35,41,35,137,31,52,66,37,Alive,None evident,,None evident,Flowered,822,1995,Eucalyptus odorata,Eucalyptus odorata,Adnataria,8.33,7.97,9.1,6.88,1.29,1.278390244,2.05,2.6207,1.53,"Kangaroo Island, SA",0,-35.69305556,137.5311111,"SA,Vic",Combination,2834,1686,0.2834,15.97083,20.23333,11.88333,478,77,11,58.495,217,45,45,217,9.241667,50.50091,344.3139,26.2,7.9,18.3,11.88333,20.23333,0.1686,477.8314,
167,R068/T10,-27.69,1.5,49,Eucalyptus absita,DN 1154,"Badgingarra, WA",1995,CCA1184,1154,Eucalyptus absita,D.Nicolle,1154,30,26,13,115,34,32,68,10,Alive,Moderate,,None evident,Flowered,1154,1995,Eucalyptus absita,Eucalyptus absita,Adnataria,12.64,9.53,13.01,9.45,3.335,1.266119403,3.35,4.2415,2.21,"Badgingarra, WA",0,-30.43694444,115.5755556,WA,Lignotuber,2540,2223,0.254,18.63750076,24.98333359,12.89999962,565,110,9,76.91886139,300,37,47,300,13.82499981,51.20370102,503.5786743,34.20000076,7.199999809,27,12.89999962,24.73333359,0.2223,564.7777,
171,R069/T32,-26.09,1.5,49.2,Eucalyptus rudis subsp. rudis,DN 1131,"Pallinup River, WA",1995,CCA1212,1131,Eucalyptus rudis subsp. rudis,D.Nicolle,1131,34,24,21,118,43,48,69,32,Alive,Severe,,Severe,Flowered,1131,1995,Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,Exsertaria,6.66,5.07,6.93,5.27,1.625,0.92779661,1.18,1.0948,0.64,"Pallinup River, WA",3,-34.40583333,118.73,WA,Combination,2801,1695,0.2801,16.34166718,20.58333397,12.1833334,475,63,18,36.12965775,169,66,74,159,11.88333321,56.8580513,346.6123962,27.60000038,6.699999809,20.90000153,13.1833334,20.41666603,0.1695,474.8305,
172,R069/T34,-26.71,1.9,49.3,Eucalyptus rudis subsp. rudis,DN 1131,"Pallinup River, WA",1995,CCA1214,1131,Eucalyptus rudis subsp. rudis,D.Nicolle,1131,34,24,21,118,43,48,69,34,Alive,Moderate,,Severe,Flowered,1131,1995,Eucalyptus rudis subsp. rudis,Eucalyptus rudis subsp. rudis,Exsertaria,12.08,9.57,11.81,9.24,2.54,0.694776536,3.58,2.4873,1.77,"Pallinup River, WA",3,-34.40583333,118.73,WA,Combination,2801,1695,0.2801,16.34166718,20.58333397,12.1833334,475,63,18,36.12965775,169,66,74,159,11.88333321,56.8580513,346.6123962,27.60000038,6.699999809,20.90000153,13.1833334,20.41666603,0.1695,474.8305,
183,R071/T28,-27.21,1.5,51,Eucalyptus camaldulensis subsp. camaldulensis,DN 823,"Kangaroo Island, SA",1995,CCA1266,823,Eucalyptus camaldulensis subsp. camaldulensis,D.Nicolle,823,35,41,50,137,31,21,71,28,Alive,Slight,,None evident,Flowered,823,1995,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,Exsertaria,10.06,7.94,10.02,7.76,2.19,1.120447154,2.46,2.7563,1.48,"Kangaroo Island, SA",0,-35.69722222,137.5225,"Vic,NSW,SA,Qld",Combination,2842,1688,0.2842,15.95833,20.21667,11.86667,480,77,11,58.82229,219,45,45,219,9.283334,50.4529,344.6001,26.3,7.9,18.4,11.86667,20.21667,0.1688,479.8312,
184,R071/T29,-26.95,1.6,51,Eucalyptus camaldulensis subsp. camaldulensis,DN 823,"Kangaroo Island, SA",1995,CCA1267,823,Eucalyptus camaldulensis subsp. camaldulensis,D.Nicolle,823,35,41,50,137,31,21,71,29,Alive,None evident,,None evident,Flowered,823,1995,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,Exsertaria,8.09,6.83,8.36,6.55,1.535,1.337861272,1.73,2.3145,1.01,"Kangaroo Island, SA",0,-35.69722222,137.5225,"Vic,NSW,SA,Qld",Combination,2842,1688,0.2842,15.95833,20.21667,11.86667,480,77,11,58.82229,219,45,45,219,9.283334,50.4529,344.6001,26.3,7.9,18.4,11.86667,20.21667,0.1688,479.8312,
185,R071/T30,-28.22,1.3,52.3,Eucalyptus camaldulensis subsp. camaldulensis,DN 823,"Kangaroo Island, SA",1995,CCA1268,823,Eucalyptus camaldulensis subsp. camaldulensis,D.Nicolle,823,35,41,50,137,31,21,71,30,Alive,None evident,,None evident,Flowered,823,1995,Eucalyptus camaldulensis subsp. camaldulensis,Eucalyptus camaldulensis subsp. camaldulensis,Exsertaria,12.3,9.47,11.3,8.16,2.985,1.075017544,2.85,3.0638,1.61,"Kangaroo Island, SA",0,-35.69722222,137.5225,"Vic,NSW,SA,Qld",Combination,2842,1688,0.2842,15.95833,20.21667,11.86667,480,77,11,58.82229,219,45,45,219,9.283334,50.4529,344.6001,26.3,7.9,18.4,11.86667,20.21667,0.1688,479.8312,
189,R073/T01,-28.24,1,50.2,Eucalyptus gillenii,DN 1209,"Mt Gillen, WA",1995,CCA1301,1209,Eucalyptus gillenii,D.Nicolle,1209,23,43,30,133,51,26,73,1,Alive,None evident,,None evident,Flowered,1209,1995,Eucalyptus gillenii,Eucalyptus gillenii,Exsertaria,8.89,7.15,7.79,6.04,1.745,1.822608696,1.61,2.9344,1.14,"Mt Gillen, WA",0,-23.725,133.8572222,"NT,WA,SA",Lignotuber,1125,2861,0.1125,21.25416565,28.28333282,13.19999981,322,47,9,50.36545944,135,33,131,37,14.54166603,46.45899963,618.9230347,36.09999847,4.800000191,31.29999924,27.56666565,15.28333378,0.2861,321.7139,
190,R073/T02,-28.96,1,52.1,Eucalyptus gillenii,DN 1209,"Mt Gillen, WA",1995,CCA1302,1209,Eucalyptus gillenii,D.Nicolle,1209,23,43,30,133,51,26,73,2,Alive,None evident,,None evident,Flowered,1209,1995,Eucalyptus gillenii,Eucalyptus gillenii,Exsertaria,8.4,6.83,8.37,7.04,1.45,1.94486911,1.91,3.7147,1.25,"Mt Gillen, WA",0,-23.725,133.8572222,"NT,WA,SA",Lignotuber,1125,2861,0.1125,21.25416565,28.28333282,13.19999981,322,47,9,50.36545944,135,33,131,37,14.54166603,46.45899963,618.9230347,36.09999847,4.800000191,31.29999924,27.56666565,15.28333378,0.2861,321.7139,
191,R073/T03,-29.47,1,52,Eucalyptus gillenii,DN 1209,"Mt Gillen, WA",1995,CCA1303,1209,Eucalyptus gillenii,D.Nicolle,1209,23,43,30,133,51,26,73,3,Alive,None evident,,None evident,Flowered,1209,1995,Eucalyptus gillenii,Eucalyptus gillenii,Exsertaria,8.25,6.26,8.31,6.4,1.95,3.395428571,1.75,5.942,1.09,"Mt Gillen, WA",0,-23.725,133.8572222,"NT,WA,SA",Lignotuber,1125,2861,0.1125,21.25416565,28.28333282,13.19999981,322,47,9,50.36545944,135,33,131,37,14.54166603,46.45899963,618.9230347,36.09999847,4.800000191,31.29999924,27.56666565,15.28333378,0.2861,321.7139,
192,R074/T13,-29.03,1.2,49.8,Eucalyptus behriana,DN 783,"Tarlee, SA",1995,CCA1333,783,Eucalyptus behriana,D.Nicolle,783,34,20,74,138,46,73,74,13,Alive,None evident,,None evident,Flowered,783,1995,Eucalyptus behriana,Eucalyptus behriana,Adnataria,9.78,8.05,10.12,7.78,2.035,2.035021097,2.37,4.823,1.84,"Tarlee, SA",0,-34.35388889,138.7869444,"Vic,SA,NSW",Lignotuber,2317,1924,0.2317,16.11667,22,10.41667,446,55,18,37.03397,160,60,60,154,12.75,50,473.8926,30.8,5.3,25.5,11,22,0.1924,445.8076,
193,R074/T15,-28.12,1.3,49.4,Eucalyptus behriana,DN 783,"Tarlee, SA",1995,CCA1334,783,Eucalyptus behriana,D.Nicolle,783,34,20,74,138,46,73,74,15,Alive,None evident,,None evident,Flowered,783,1995,Eucalyptus behriana,Eucalyptus behriana x E. odorata,Adnataria,9.07,6.7,8.84,6.84,2.185,3.244078947,1.52,4.931,1.22,"Tarlee, SA",0,-34.35388889,138.7869444,"Vic,SA,NSW",Lignotuber,2317,1924,0.2317,16.11667,22,10.41667,446,55,18,37.03397,160,60,60,154,12.75,50,473.8926,30.8,5.3,25.5,11,22,0.1924,445.8076,
194,R074/T16,-28.37,1,48.3,Eucalyptus behriana,DN 783,"Tarlee, SA",1995,CCA1335,783,Eucalyptus behriana,D.Nicolle,783,34,20,74,138,46,73,74,16,Alive,None evident,,None evident,Flowered,783,1995,Eucalyptus behriana,Eucalyptus behriana x E. odorata,Adnataria,9.39,6.92,9.75,7.61,2.305,3.208512821,1.95,6.2566,1.44,"Tarlee, SA",0,-34.35388889,138.7869444,"Vic,SA,NSW",Lignotuber,2317,1924,0.2317,16.11667,22,10.41667,446,55,18,37.03397,160,60,60,154,12.75,50,473.8926,30.8,5.3,25.5,11,22,0.1924,445.8076,
195,R074/T28,-28.12,1,51.6,Eucalyptus petiolaris,DN 945,"Koppio Hills, SA",1995,CCA1340,945,Eucalyptus petiolaris (yellow flower morph),D.Nicolle,945,34,29,9,135,51,27,74,28,Alive,None evident,,Moderate,Flowered,945,1995,Eucalyptus petiolaris,Eucalyptus petiolaris (yellow flower morph),Adnataria,11.73,9.54,12.24,8.23,3.1,1.165602606,3.07,3.5784,1.84,"Koppio Hills 2, SA",2,-34.48583333,135.8575,SA,Combination,2764,1743,0.2764,16.0375,20.58333,11.48333,482,80,11,59.22013,221,44,49,221,10.69167,50.9127,373.9417,27.7,6.7,21,11.48333,20.56667,0.1743,481.8257,
196,R074/T30,-27.24,1.2,51,Eucalyptus petiolaris,DN 945,"Koppio Hills, SA",1995,CCA1341,945,Eucalyptus petiolaris (yellow flower morph),D.Nicolle,945,34,29,9,135,51,27,74,30,Alive,None evident,,Moderate,Flowered,945,1995,Eucalyptus petiolaris,Eucalyptus petiolaris (yellow flower morph),Adnataria,12.56,8.69,11.67,9.08,3.23,0.811054217,3.32,2.6927,1.86,"Koppio Hills 2, SA",2,-34.48583333,135.8575,SA,Combination,2764,1743,0.2764,16.0375,20.58333,11.48333,482,80,11,59.22013,221,44,49,221,10.69167,50.9127,373.9417,27.7,6.7,21,11.48333,20.56667,0.1743,481.8257,
197,R074/T31,-29.45,1,49.7,Eucalyptus petiolaris,DN 945,"Koppio Hills, SA",1995,CCA1342,945,Eucalyptus petiolaris (yellow flower morph),D.Nicolle,945,34,29,9,135,51,27,74,31,Alive,Moderate,,Moderate,Flowered,945,1995,Eucalyptus petiolaris,Eucalyptus petiolaris (yellow flower morph),Adnataria,12.27,9.78,12.13,9.29,2.665,1.296264368,3.48,4.511,2.44,"Koppio Hills 2, SA",2,-34.48583333,135.8575,SA,Combination,2764,1743,0.2764,16.0375,20.58333,11.48333,482,80,11,59.22013,221,44,49,221,10.69167,50.9127,373.9417,27.7,6.7,21,11.48333,20.56667,0.1743,481.8257,
198,R075/T02,-29.5,1.1,51.4,Eucalyptus albopurpurea,DN 825,"Kangaroo Island, SA",1995,CCA1345,825,Eucalyptus albopurpurea (atypical form),D.Nicolle,825,35,44,49,137,38,18,75,2,Alive,None evident,,None evident,Flowered,825,1995,Eucalyptus albopurpurea,Eucalyptus albopurpurea (atypical form),Adnataria,9.04,7.07,8.76,7.39,1.67,2.348425926,2.16,5.0726,1.49,"Kangaroo Island, SA",0,-35.74694444,137.6383333,SA,Lignotuber,2967,1647,0.2967,15.84583,19.83333,11.93333,489,78,11,58.55585,221,45,45,221,8.358334,48.87914,325.1815,25.3,8.2,17.1,11.93333,19.83333,0.1647,488.8353,
199,R075/T04,-28.54,0.8,51.8,Eucalyptus albopurpurea,DN 825,"Kangaroo Island, SA",1995,CCA1347,825,Eucalyptus albopurpurea (atypical form),D.Nicolle,825,35,44,49,137,38,18,75,4,Alive,None evident,,None evident,Flowered,825,1995,Eucalyptus albopurpurea,Eucalyptus albopurpurea (atypical form),Adnataria,8.37,5.61,7.28,5.93,2.055,4.413240741,1.08,4.7663,0.77,"Kangaroo Island, SA",0,-35.74694444,137.6383333,SA,Lignotuber,2967,1647,0.2967,15.84583,19.83333,11.93333,489,78,11,58.55585,221,45,45,221,8.358334,48.87914,325.1815,25.3,8.2,17.1,11.93333,19.83333,0.1647,488.8353,
200,R075/T05,-28.6,0.9,50.9,Eucalyptus albopurpurea,DN 825,"Kangaroo Island, SA",1995,CCA1348,825,Eucalyptus albopurpurea (atypical form),D.Nicolle,825,35,44,49,137,38,18,75,5,Alive,None evident,,None evident,,825,1995,Eucalyptus albopurpurea,Eucalyptus albopurpurea (atypical form),Adnataria,8.02,6.52,7.66,5.84,1.66,2.250408163,1.47,3.3081,1.06,"Kangaroo Island, SA",NA,-35.74694444,137.6383333,SA,Lignotuber,2967,1647,0.2967,15.84583,19.83333,11.93333,489,78,11,58.55585,221,45,45,221,8.358334,48.87914,325.1815,25.3,8.2,17.1,11.93333,19.83333,0.1647,488.8353,
201,R075/T15,-25.26,1.6,50.1,Eucalyptus albopurpurea,DN 942,"Port Lincoln 1, SA",1995,CCA1356,942,Eucalyptus albopurpurea,D.Nicolle,942,34,50,23,135,41,54,75,15,Alive,None evident,,None evident,Flowered,942,1995,Eucalyptus albopurpurea,Eucalyptus albopurpurea,Adnataria,10.04,7.86,10.42,7.59,2.505,1.335702128,2.35,3.1389,1.53,"Sleaford Bay, SA",0,-34.83972222,135.6983333,SA,Lignotuber,3250,1624,0.325,15.60833,19.61667,11.6,528,89,13,61.62775,246,48,48,246,9.666666,51.41844,328.978,25.8,7,18.8,11.6,19.61667,0.1624,527.8376,
202,R075/T16,-27.7,1.2,52,Eucalyptus albopurpurea,DN 942,"Port Lincoln 1, SA",1995,CCA1357,942,Eucalyptus albopurpurea,D.Nicolle,942,34,50,23,135,41,54,75,16,Alive,None evident,,None evident,Flowered,942,1995,Eucalyptus albopurpurea,Eucalyptus albopurpurea,Adnataria,9.3,7.52,10.15,6.49,2.72,2.292361809,1.99,4.5618,1.4,"Sleaford Bay, SA",0,-34.83972222,135.6983333,SA,Lignotuber,3250,1624,0.325,15.60833,19.61667,11.6,528,89,13,61.62775,246,48,48,246,9.666666,51.41844,328.978,25.8,7,18.8,11.6,19.61667,0.1624,527.8376,
203,R076/T21,-26.88,1.2,48.3,Eucalyptus fergusonii subsp. dorsiventralis,DN 634,"Wollombi, NSW",1995,CCA1371,634,Eucalyptus fergusonii subsp. dorsiventralis,D.Nicolle,634,32,52,15,151,1,15,76,21,Alive,Slight,,None evident,Flowered,634,1995,Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus fergusonii subsp. dorsiventralis,Adnataria,9.59,6.4,9.15,6.47,2.935,1.921974522,1.57,3.0175,1.04,"Wollombi, NSW",0,-32.87083333,151.0208333,NSW,Combination,5233,1563,0.5233,16.7625,21.91667,11.16667,818,108,35,32.65523,293,123,288,131,10.975,48.77778,432.4934,27.6,5.1,22.5,21.56667,12.06667,0.1563,817.8437,
204,R076/T22,-25.3,1.1,49.4,Eucalyptus fergusonii subsp. dorsiventralis,DN 634,"Wollombi, NSW",1995,CCA1372,634,Eucalyptus fergusonii subsp. dorsiventralis,D.Nicolle,634,32,52,15,151,1,15,76,22,Alive,Slight,,None evident,Flowered,634,1995,Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus fergusonii subsp. dorsiventralis,Adnataria,11.4,8.8,11.25,8.78,2.535,1.162043796,2.74,3.184,1.74,"Wollombi, NSW",0,-32.87083333,151.0208333,NSW,Combination,5233,1563,0.5233,16.7625,21.91667,11.16667,818,108,35,32.65523,293,123,288,131,10.975,48.77778,432.4934,27.6,5.1,22.5,21.56667,12.06667,0.1563,817.8437,
205,R076/T23,-25.67,0.9,48.5,Eucalyptus fergusonii subsp. dorsiventralis,DN 634,"Wollombi, NSW",1995,CCA1373,634,Eucalyptus fergusonii subsp. dorsiventralis,D.Nicolle,634,32,52,15,151,1,15,76,23,Alive,Slight,,None evident,Flowered,634,1995,Eucalyptus fergusonii subsp. dorsiventralis,Eucalyptus fergusonii subsp. dorsiventralis,Adnataria,8.8,7.2,7.91,6.3,1.605,3.61018018,1.11,4.0073,0.76,"Wollombi, NSW",0,-32.87083333,151.0208333,NSW,Combination,5233,1563,0.5233,16.7625,21.91667,11.16667,818,108,35,32.65523,293,123,288,131,10.975,48.77778,432.4934,27.6,5.1,22.5,21.56667,12.06667,0.1563,817.8437,
212,R086/T16,-29.78,1.5,51.7,Eucalyptus coolabah,DN 1355,"Palmer River, NT",1996,CCA1478,1355,Eucalyptus coolabah,D.Nicolle,1355,24,44,10,133,10,58,86,16,Alive,None evident,,None evident,,1355,1996,Eucalyptus coolabah,Eucalyptus coolabah,Adnataria,11.17,8.58,11.72,8.15,3.08,0.614814815,2.7,1.66,2.5914,"Palmer River, NT",0,-24.73611111,133.1827778,"Qld,NSW,SA,NT,WA",Combination,964,2924,0.0964,21.85416603,29.18333244,13.61666679,282,41,11,38.15041351,109,42,109,45,15.65833282,46.74129486,636.7655029,37.79999924,4.300000191,33.5,29.18333244,15.66666603,0.2924,281.7076,
213,R086/T17,-28.83,1.4,50.5,Eucalyptus coolabah,DN 1355,"Palmer River, NT",1996,CCA1479,1355,Eucalyptus coolabah,D.Nicolle,1355,24,44,10,133,10,58,86,17,Alive,None evident,,None evident,,1355,1996,Eucalyptus coolabah,Eucalyptus coolabah,Adnataria,9.33,6.65,9.19,6.99,2.44,0.649350649,1.54,1,2.9147,"Palmer River, NT",0,-24.73611111,133.1827778,"Qld,NSW,SA,NT,WA",Combination,964,2924,0.0964,21.85416603,29.18333244,13.61666679,282,41,11,38.15041351,109,42,109,45,15.65833282,46.74129486,636.7655029,37.79999924,4.300000191,33.5,29.18333244,15.66666603,0.2924,281.7076,
214,R087/T07,-29.32,1.1,47.3,Eucalyptus melanophloia subsp. nana,DN 1330,"Mount Isa, Qld",1996,CCA1495,1330,Eucalyptus melanophloia subsp. nana,D.Nicolle,1330,20,52,48,139,27,11,87,7,Alive,None evident,,None evident,Flowered,1330,1996,Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,Adnataria,6.96,4.79,6.22,5.45,1.47,0.703703704,1.08,0.76,2.3697,"Mount Isa 1, Qld",0,-20.88,139.4530556,"NT,Qld",Combination,1494,2918,0.1494,24.1875,29.53333282,17.18333244,436,103,5,94.11685944,258,20,258,20,13.80833244,49.13997269,511.7799988,36.70000076,8.600000381,28.10000038,28.81666565,17.18333244,0.2918,435.7082,
215,R087/T08,-29.04,1.2,47.5,Eucalyptus melanophloia subsp. nana,DN 1330,"Mount Isa, Qld",1996,CCA1496,1330,Eucalyptus melanophloia subsp. nana,D.Nicolle,1330,20,52,48,139,27,11,87,8,Alive,None evident,,None evident,Flowered,1330,1996,Eucalyptus melanophloia subsp. nana,Eucalyptus melanophloia subsp. nana,Adnataria,6.84,4.85,6.27,5.46,1.4,0.669565217,1.15,0.77,2.3276,"Mount Isa 1, Qld",0,-20.88,139.4530556,"NT,Qld",Combination,1494,2918,0.1494,24.1875,29.53333282,17.18333244,436,103,5,94.11685944,258,20,258,20,13.80833244,49.13997269,511.7799988,36.70000076,8.600000381,28.10000038,28.81666565,17.18333244,0.2918,435.7082,
