,RowTree,d13C,totalN,totalC,CurrentName,Voucher,Provenance.x,YearPlanted,FieldID,DNNumber,Taxon,Collector,Collector.s..,Latitude.degrees..south.,Latitude.minutes..south.,Latitude.seconds..south.,Longitude.degrees..east.,Longitude.minutes..east.,Longitude.seconds..east.,Row,Tree,Status.in.Feb.2016,Drought.stress..June.2019.,Time.since.death..June.2019.,X2006.dieback.death,Maturity.at.June.2019,UniqueID,Yearplanted,Current.name,TaxonoriginalDN,Section,Diam.1.Bark,Diam.1.peeled,Diam.2.Bark,Diam.2.peeled,bark.thickness,WD,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Provenance.y,Drought2006Scale,latitude,longitude,Stateoccurrence,Regeneration.Strategy,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
20,R042/T10,-25.49,1.2,49,Eucalyptus sparsa,DN 427,"Everard Ranges, SA",1994,CCA0573,427,Eucalyptus sparsa,D.Nicolle,427,27,0,34,132,30,56,42,10,Alive,None evident,,None evident,Flowered,427,1994,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,8.57,6.82,8.99,6.67,2.035,2.891911765,1.36,3.933,1.06,"Everard Ranges, SA",0,-27.00944444,132.5155556,"SA,WA,NT",Lignotuber,956,2886,0.0956,19.7625,26.9,12.03333,276,38,12,34.03615,103,45,92,46,13.675,45.73579,603.1212,34.8,4.9,29.9,26.28333,12.73333,0.2886,275.7114,
21,R042/T11,-25.44,1.1,50.7,Eucalyptus sparsa,DN 427,"Everard Ranges, SA",1994,CCA0574,427,Eucalyptus sparsa,D.Nicolle,427,27,0,34,132,30,56,42,11,Alive,None evident,,None evident,Flowered,427,1994,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,6.07,4.37,6.02,4.26,1.73,4.607323944,0.71,3.2712,0.52,"Everard Ranges, SA",0,-27.00944444,132.5155556,"SA,WA,NT",Lignotuber,956,2886,0.0956,19.7625,26.9,12.03333,276,38,12,34.03615,103,45,92,46,13.675,45.73579,603.1212,34.8,4.9,29.9,26.28333,12.73333,0.2886,275.7114,
27,R045/T14,-29.75,0.8,47.2,Eucalyptus intertexta,DN 423,"Everard Ranges, SA",1994,CCA0651,423,Eucalyptus intertexta,D.Nicolle,423,27,2,20,132,32,55,45,14,Alive,None evident,,None evident,Flowered,423,1994,Eucalyptus intertexta,Eucalyptus intertexta,Adnataria,7.39,6.15,7.52,6.07,1.345,1.772123288,1.46,2.5873,1,"Everard Ranges, SA",0,-27.03888889,132.5486111,"NSW,SA,Qld, NT, WA",Combination,934,2932,0.0934,19.89167,27.13333,12.03333,274,37,12,32.83533,101,46,91,46,14.5,46.77419,613.1618,35.4,4.4,31,26.5,12.71667,0.2932,273.7068,
28,R045/T15,-29.15,0.9,47.7,Eucalyptus intertexta,DN 423,"Everard Ranges, SA",1994,CCA0652,423,Eucalyptus intertexta,D.Nicolle,423,27,2,20,132,32,55,45,15,Alive,None evident,,None evident,Flowered,423,1994,Eucalyptus intertexta,Eucalyptus intertexta,Adnataria,8.35,6.27,8.78,6.53,2.165,1.434936709,1.58,2.2672,1.08,"Everard Ranges, SA",0,-27.03888889,132.5486111,"NSW,SA,Qld, NT, WA",Combination,934,2932,0.0934,19.89167,27.13333,12.03333,274,37,12,32.83533,101,46,91,46,14.5,46.77419,613.1618,35.4,4.4,31,26.5,12.71667,0.2932,273.7068,
29,R045/T16,-29.13,1,48.6,Eucalyptus intertexta,DN 423,"Everard Ranges, SA",1994,CCA0653,423,Eucalyptus intertexta,D.Nicolle,423,27,2,20,132,32,55,45,16,Alive,None evident,,None evident,Flowered,423,1994,Eucalyptus intertexta,Eucalyptus intertexta,Adnataria,8.53,6.05,9,5.69,2.895,1.730225564,1.33,2.3012,0.82,"Everard Ranges, SA",0,-27.03888889,132.5486111,"NSW,SA,Qld, NT, WA",Combination,934,2932,0.0934,19.89167,27.13333,12.03333,274,37,12,32.83533,101,46,91,46,14.5,46.77419,613.1618,35.4,4.4,31,26.5,12.71667,0.2932,273.7068,
30,R046/T36,-29.39,1.1,49.3,Eucalyptus polyanthemos subsp. polyanthemos,DN 742,"Rylstone, NSW",1994,CCA0672,742,Eucalyptus polyanthemos subsp. polyanthemos,D.Nicolle,742,32,41,37,150,0,10,46,36,Alive,None evident,,None evident,Flowered,742,1994,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,Adnataria,8.57,6.61,7.65,5.73,1.94,2.648680556,1.44,3.8141,0.99,"Rylstone, NSW",0,-32.69361111,150.0027778,NSW,Combination,4899,1551,0.4899,14.15833,20.45,7.666667,760,93,42,20.11829,233,151,233,157,12,46.33205,514.6924,27.7,1.8,25.9,20.45,11.06667,0.1551,759.8449,
31,R047/T05,-28.4,1.1,48.5,Eucalyptus conica,DN 747,"Bylong, NSW",1994,CCA0677,747,Eucalyptus conica,D.Nicolle,747,32,24,14,150,13,20,47,5,Alive,Slight,,Slight,Flowered,747,1994,Eucalyptus conica,Eucalyptus conica,Adnataria,13.42,10.85,14.13,11.93,2.385,0.562252427,5.15,2.8956,3.55,"Bylong, NSW",1,-32.40388889,150.2222222,NSW,Combination,3791,1722,0.3791,16.7875,23.01667,10.25,653,94,33,30.08189,227,121,227,122,12.30833,46.97837,514.1724,29.9,3.7,26.2,23.01667,13.66667,0.1722,652.8278,
32,R047/T06,-27.45,1.3,49.8,Eucalyptus conica,DN 747,"Bylong, NSW",1994,CCA0678,747,Eucalyptus conica,D.Nicolle,747,32,24,14,150,13,20,47,6,Alive,Slight,,None evident,Flowered,747,1994,Eucalyptus conica,Eucalyptus conica,Adnataria,12.02,9.24,12.1,9.04,2.92,0.595666667,3,1.787,2.03,"Bylong, NSW",0,-32.40388889,150.2222222,NSW,Combination,3791,1722,0.3791,16.7875,23.01667,10.25,653,94,33,30.08189,227,121,227,122,12.30833,46.97837,514.1724,29.9,3.7,26.2,23.01667,13.66667,0.1722,652.8278,
33,R047/T08,-28.47,1.1,50.1,Eucalyptus conica,DN 747,"Bylong, NSW",1994,CCA0679,747,Eucalyptus conica,D.Nicolle,747,32,24,14,150,13,20,47,8,Alive,Slight,,Moderate,,747,1994,Eucalyptus conica,Eucalyptus conica,Adnataria,13.37,9.21,12.38,10.84,2.85,0.36531856,3.61,1.3188,2.41,"Bylong, NSW",2,-32.40388889,150.2222222,NSW,Combination,3791,1722,0.3791,16.7875,23.01667,10.25,653,94,33,30.08189,227,121,227,122,12.30833,46.97837,514.1724,29.9,3.7,26.2,23.01667,13.66667,0.1722,652.8278,
34,R047/T19,-28.98,1,48.3,Eucalyptus dawsonii,DN 743,"Ginghi, NSW",1994,CCA0687,743,Eucalyptus dawsonii,D.Nicolle,743,32,36,31,150,4,29,47,19,Alive,None evident,,None evident,Flowered,743,1994,Eucalyptus dawsonii,Eucalyptus dawsonii,Adnataria,12.6,9.71,12.97,10.48,2.69,0.673171206,5.14,3.4601,3.28,"Ginghi, NSW",0,-32.60861111,150.0747222,NSW,Combination,4369,1590,0.4369,15.21667,21.3,8.916667,695,91,37,23.41216,222,135,222,136,11.15,45.3252,497.8971,27.8,3.2,24.6,21.3,12.28333,0.159,694.841,
