RowTree,TaxonoriginalDN,latitude,longitude
R056/T08,Eucalyptus parramattensis subsp. decadens,-32.78305556,151.8872222
R056/T09,Eucalyptus parramattensis subsp. decadens,-32.78305556,151.8872222
R056/T10,Eucalyptus parramattensis subsp. decadens,-32.78305556,151.8872222
R058/T04,Eucalyptus hallii,-25.17,152.3722222
R058/T05,Eucalyptus hallii,-25.17,152.3722222
R058/T06,Eucalyptus hallii,-25.17,152.3722222
R058/T12,Eucalyptus ancophila,-30.81638889,152.8533333
R058/T14,Eucalyptus ancophila,-30.81638889,152.8533333
R058/T15,Eucalyptus ancophila,-30.81638889,152.8533333
R059/T12,Eucalyptus populnea subsp. populnea,-27.11666667,150.6933333
R059/T13,Eucalyptus populnea subsp. populnea,-27.11666667,150.6933333
R059/T15,Eucalyptus populnea subsp. populnea,-27.11666667,150.6933333
R060/T01,Eucalyptus vicina,-31.55111111,146.6913889
R060/T02,Eucalyptus vicina,-31.55111111,146.6913889
R060/T03,Eucalyptus vicina,-31.55111111,146.6913889
R060/T29,Eucalyptus interstans,-28.92888889,152.3938889
R060/T30,Eucalyptus interstans,-28.92888889,152.3938889
R060/T32,Eucalyptus interstans,-28.92888889,152.3938889
R061/T13,Eucalyptus fusiformis,-30.9025,152.8533333
R061/T14,Eucalyptus fusiformis,-30.9025,152.8533333
R061/T15,Eucalyptus fusiformis,-30.9025,152.8533333
R061/T29,Eucalyptus fergusonii subsp. fergusonii,-32.24861111,152.1916667
R061/T30,Eucalyptus fergusonii subsp. fergusonii,-32.24861111,152.1916667
R061/T31,Eucalyptus fergusonii subsp. fergusonii,-32.24861111,152.1916667
R063/T17,Eucalyptus victrix,-24.01777778,113.4880556
R063/T19,Eucalyptus victrix,-24.01777778,113.4880556
R066/T19,Eucalyptus normantonensis,-23.63583333,132.5672222
R066/T20,Eucalyptus normantonensis,-23.63583333,132.5672222
R066/T21,Eucalyptus normantonensis,-23.63583333,132.5672222
R066/T25,Eucalyptus camaldulensis subsp. arida,-23.20416667,131.5602778
R066/T26,Eucalyptus camaldulensis subsp. arida,-23.20416667,131.5602778
R066/T27,Eucalyptus camaldulensis subsp. arida,-23.20416667,131.5602778
R066/T29,Eucalyptus largiflorens,-34.01333333,141.9258333
R066/T32,Eucalyptus largiflorens,-34.01333333,141.9258333
R066/T33,Eucalyptus largiflorens,-34.01333333,141.9258333
R066/T34,Eucalyptus odorata,-35.69305556,137.5311111
R066/T36,Eucalyptus odorata,-35.69305556,137.5311111
R066/T37,Eucalyptus odorata,-35.69305556,137.5311111
R068/T10,Eucalyptus absita,-30.43694444,115.5755556
R069/T32,Eucalyptus rudis subsp. rudis,-34.40583333,118.73
R069/T34,Eucalyptus rudis subsp. rudis,-34.40583333,118.73
R071/T28,Eucalyptus camaldulensis subsp. camaldulensis,-35.69722222,137.5225
R071/T29,Eucalyptus camaldulensis subsp. camaldulensis,-35.69722222,137.5225
R071/T30,Eucalyptus camaldulensis subsp. camaldulensis,-35.69722222,137.5225
R073/T01,Eucalyptus gillenii,-23.725,133.8572222
R073/T02,Eucalyptus gillenii,-23.725,133.8572222
R073/T03,Eucalyptus gillenii,-23.725,133.8572222
R074/T13,Eucalyptus behriana,-34.35388889,138.7869444
R074/T15,Eucalyptus behriana x E. odorata,-34.35388889,138.7869444
R074/T16,Eucalyptus behriana x E. odorata,-34.35388889,138.7869444
R074/T28,Eucalyptus petiolaris (yellow flower morph),-34.48583333,135.8575
R074/T30,Eucalyptus petiolaris (yellow flower morph),-34.48583333,135.8575
R074/T31,Eucalyptus petiolaris (yellow flower morph),-34.48583333,135.8575
R075/T02,Eucalyptus albopurpurea (atypical form),-35.74694444,137.6383333
R075/T05,Eucalyptus albopurpurea (atypical form),-35.74694444,137.6383333
R075/T04,Eucalyptus albopurpurea (atypical form),-35.74694444,137.6383333
R075/T05,Eucalyptus albopurpurea (atypical form),-35.74694444,137.6383333
R075/T15,Eucalyptus albopurpurea,-34.83972222,135.6983333
R075/T16,Eucalyptus albopurpurea,-34.83972222,135.6983333
R076/T21,Eucalyptus fergusonii subsp. dorsiventralis,-32.87083333,151.0208333
R076/T22,Eucalyptus fergusonii subsp. dorsiventralis,-32.87083333,151.0208333
R076/T23,Eucalyptus fergusonii subsp. dorsiventralis,-32.87083333,151.0208333
R086/T16,Eucalyptus coolabah,-24.73611111,133.1827778
R086/T17,Eucalyptus coolabah,-24.73611111,133.1827778
R087/T07,Eucalyptus melanophloia subsp. nana,-20.88,139.4530556
R087/T08,Eucalyptus melanophloia subsp. nana,-20.88,139.4530556
R087/T09,Eucalyptus melanophloia subsp. nana,-20.88,139.4530556
R087/T22,Eucalyptus microcarpa (Adelaide variant),-35.08583333,138.5605556
R087/T25,Eucalyptus microcarpa (Adelaide variant),-35.08583333,138.5605556
R087/T26,Eucalyptus microcarpa (Adelaide variant),-35.08583333,138.5605556
R087/T28,Eucalyptus ammophila,-23.56,145.7183333
R087/T30,Eucalyptus ammophila,-23.56,145.7183333
R087/T31,Eucalyptus ammophila,-23.56,145.7183333
R088/T05,Eucalyptus wimmerensis,-36.06527778,140.7336111
R088/T06,Eucalyptus wimmerensis,-36.06527778,140.7336111
R088/T08,Eucalyptus wimmerensis,-36.06527778,140.7336111
R088/T35,Eucalyptus microcarpa,-33.90361111,147.3011111
R088/T37,Eucalyptus microcarpa,-33.90361111,147.3011111
R088/T38,Eucalyptus microcarpa,-33.90361111,147.3011111
R089/T15,Eucalyptus sicilifolia,-24.08305556,148.0752778
R089/T16,Eucalyptus sicilifolia,-24.08305556,148.0752778
R089/T17,Eucalyptus sicilifolia,-24.08305556,148.0752778
R089/T19,Eucalyptus tholiformis,-24.39694444,147.3713889
R089/T20,Eucalyptus tholiformis,-24.39694444,147.3713889
R089/T22,Eucalyptus tholiformis,-24.39694444,147.3713889
R089/T26,Eucalyptus suffulgens,-25.1925,149.9711111
R089/T27,Eucalyptus suffulgens,-25.1925,149.9711111
R089/T29,Eucalyptus suffulgens,-25.1925,149.9711111
R090/T01,Eucalyptus thozetiana,-23.61972222,146.2561111
R090/T09,Eucalyptus tereticornis subsp. rotunda,-24.91027778,148.0425
R090/T10,Eucalyptus tereticornis subsp. rotunda,-24.91027778,148.0425
R090/T11,Eucalyptus tereticornis subsp. rotunda,-24.91027778,148.0425
R090/T17,Eucalyptus brownii,-20.55888889,145.3622222
R090/T19,Eucalyptus brownii,-20.55888889,145.3622222
R090/T21,Eucalyptus corynodes,-25.46027778,150.3041667
R090/T22,Eucalyptus corynodes,-25.46027778,150.3041667
R090/T24,Eucalyptus exilipes,-20.71083333,145.2222222
R090/T26,Eucalyptus infera,-28.39944444,151.7030556
R090/T27,Eucalyptus infera,-28.39944444,151.7030556
R090/T28,Eucalyptus infera,-28.39944444,151.7030556
R090/T30,Eucalyptus decorticans,-25.38083333,151.1505556
R090/T31,Eucalyptus decorticans,-25.38083333,151.1505556
R090/T33,Eucalyptus decorticans,-25.38083333,151.1505556
R091/T02,Eucalyptus persistens,-20.66111111,145.2541667
R091/T03,Eucalyptus persistens,-20.66111111,145.2541667
R091/T04,Eucalyptus persistens,-20.66111111,145.2541667
R091/T32,Eucalyptus atrata,-17.38694444,145.3322222
R091/T33,Eucalyptus atrata,-17.38694444,145.3322222
R091/T34,Eucalyptus atrata,-17.38694444,145.3322222
R092/T19,Eucalyptus chloroclada,-28.30027778,151.925
R092/T20,Eucalyptus chloroclada,-28.30027778,151.925
R092/T21,Eucalyptus chloroclada,-28.30027778,151.925
R093/T03,Eucalyptus lockyeri,-17.58861111,145.4647222
R093/T04,Eucalyptus lockyeri,-17.58861111,145.4647222
R093/T08,Eucalyptus camaldulensis subsp. simulata,-15.55527778,144.4391667
R093/T09,Eucalyptus camaldulensis subsp. simulata,-15.55527778,144.4391667
R093/T12,Eucalyptus camaldulensis subsp. simulata,-15.55527778,144.4391667
R094/T01,Eucalyptus granitica,-17.38722222,145.3461111
R094/T02,Eucalyptus granitica,-17.38722222,145.3461111
R094/T03,Eucalyptus granitica,-17.38722222,145.3461111
R094/T18,Eucalyptus insulana,-17.09611111,145.5294444
R094/T20,Eucalyptus insulana,-17.09611111,145.5294444
R094/T21,Eucalyptus insulana,-17.09611111,145.5294444
R094/T26,Eucalyptus cullenii,-15.96166667,144.8319444
R094/T27,Eucalyptus cullenii,-15.96166667,144.8319444
R095/T02,Eucalyptus bancroftii,-29.90166667,153.0647222
R095/T03,Eucalyptus bancroftii,-29.90166667,153.0647222
R095/T21,Eucalyptus propinqua,-31.28305556,152.8136111
R095/T22,Eucalyptus propinqua,-31.28305556,152.8136111
R095/T24,Eucalyptus propinqua,-31.28305556,152.8136111
R133/T05,Eucalyptus albens,-32.9175,138.1588889
R133/T06,Eucalyptus albens,-32.9175,138.1588889
R133/T07,Eucalyptus albens,-32.9175,138.1588889
R137/T19,Eucalyptus fasciculosa,-36.28166667,139.7319444
R137/T21,Eucalyptus fasciculosa,-36.28166667,139.7319444
R137/T20,Eucalyptus fasciculosa,-36.28166667,139.7319444
R138/T16,Eucalyptus tricarpa,-38.45361111,144.11
R138/T17,Eucalyptus tricarpa,-38.45361111,144.11
R138/T18,Eucalyptus tricarpa,-38.45361111,144.11
R141/T29,Eucalyptus bosistoana,-37.87777778,147.8541667
R141/T30,Eucalyptus bosistoana,-37.87777778,147.8541667
R142/T10,Eucalyptus polyanthemos subsp. vestita (subsp. longior),-37.70138889,148.3283333
R142/T11,Eucalyptus polyanthemos subsp. vestita (subsp. longior),-37.70138889,148.3283333
R142/T12,Eucalyptus polyanthemos subsp. vestita (subsp. longior),-37.70138889,148.3283333
R142/T31,Eucalyptus baueriana,-37.87777778,147.8541667
R142/T32,Eucalyptus baueriana,-37.87777778,147.8541667
R142/T33,Eucalyptus baueriana,-37.87777778,147.8541667
R143/T13,Eucalyptus parramattensis subsp. parramattensis,-34.21722222,150.5502778
R143/T15,Eucalyptus parramattensis subsp. parramattensis,-34.21722222,150.5502778
R143/T16,Eucalyptus parramattensis subsp. parramattensis,-34.21722222,150.5502778
R143/T26,Eucalyptus beyeriana,-34.3125,150.5875
R143/T27,Eucalyptus beyeriana,-34.3125,150.5875
R143/T28,Eucalyptus beyeriana,-34.3125,150.5875
R144/T28,Eucalyptus tereticornis subsp. mediana,-37.84444444,147.8522222
R144/T29,Eucalyptus tereticornis subsp. mediana,-37.84444444,147.8522222
R144/T30,Eucalyptus tereticornis subsp. mediana,-37.84444444,147.8522222
R145/T01,Eucalyptus leucoxylon subsp. pruinosa,-36.82638889,139.9202778
R145/T03,Eucalyptus leucoxylon subsp. pruinosa,-36.82638889,139.9202778
R145/T04,Eucalyptus leucoxylon subsp. pruinosa,-36.82638889,139.9202778
R083/T20,Eucalyptus ochrophloia,-26.50416667,146.0819444
R083/T21,Eucalyptus ochrophloia,-26.50416667,146.0819444
R083/T22,Eucalyptus ochrophloia,-26.50416667,146.0819444
R084/T19,Eucalyptus aenea,-32.29277778,150.4111111
R084/T17,Eucalyptus aenea,-32.29277778,150.4111111
R084/T18,Eucalyptus aenea,-32.29277778,150.4111111
R150/T01,Eucalyptus rhombica,-28.12861111,151.5155556
R150/T03,Eucalyptus rhombica,-28.12861111,151.5155556
R150/T04,Eucalyptus rhombica,-28.12861111,151.5155556
R150/T09,Eucalyptus virens,-25.19972222,147.9361111
R150/T12,Eucalyptus virens,-25.19972222,147.9361111
R150/T11,Eucalyptus virens,-25.19972222,147.9361111
R151/T09,Eucalyptus major,-27.51861111,152.1608333
R151/T10,Eucalyptus major,-27.51861111,152.1608333
R151/T18,Eucalyptus taurina,-27.52666667,152.1561111
R151/T19,Eucalyptus taurina,-27.52666667,152.1561111
R151/T20,Eucalyptus taurina,-27.52666667,152.1561111
R151/T22,Eucalyptus melanoleuca,-26.78666667,151.9575
R151/T23,Eucalyptus melanoleuca,-26.78666667,151.9575
R151/T24,Eucalyptus melanoleuca,-26.78666667,151.9575
R151/T29,Eucalyptus ophitica,-29.29388889,152.6363889
R151/T30,Eucalyptus ophitica,-29.29388889,152.6363889
R151/T32,Eucalyptus ophitica,-29.29388889,152.6363889
R152/T09,Eucalyptus fracta,-32.76722222,151.2072222
R152/T10,Eucalyptus fracta,-32.76722222,151.2072222
R152/T11,Eucalyptus fracta,-32.76722222,151.2072222
R153/T01,Eucalyptus rudderi (E. hypostomatica),-32.99666667,151.2616667
R153/T02,Eucalyptus rudderi (E. hypostomatica),-32.99666667,151.2616667
R153/T04,Eucalyptus rudderi (E. hypostomatica),-32.99666667,151.2616667
R155/T10,Eucalyptus largeana,-32.16861111,151.8880556
R155/T11,Eucalyptus largeana,-32.16861111,151.8880556
R155/T12,Eucalyptus largeana,-32.16861111,151.8880556
R156/T14,Eucalyptus paedoglauca,-19.36083333,146.8083333
R156/T15,Eucalyptus paedoglauca,-19.36083333,146.8083333
R156/T16,Eucalyptus paedoglauca,-19.36083333,146.8083333
R156/T21,Eucalyptus glaucina,-32.565,151.6022222
R156/T23,Eucalyptus glaucina,-32.565,151.6022222
R156/T24,Eucalyptus glaucina,-32.565,151.6022222
R158/T29,Eucalyptus seeana,-31.52444444,152.7925
R158/T30,Eucalyptus seeana,-31.52444444,152.7925
R158/T31,Eucalyptus seeana,-31.52444444,152.7925
R165/T08,Eucalyptus tardecidens,-16.37833333,144.7361111
R165/T10,Eucalyptus tardecidens,-16.37833333,144.7361111
R165/T11,Eucalyptus tardecidens,-16.37833333,144.7361111
R165/T28,Eucalyptus brassiana,-14.615,143.4511111
R165/T27,Eucalyptus brassiana,-14.615,143.4511111
R165/T30,Eucalyptus brassiana,-14.615,143.4511111
R165/T32,Eucalyptus staigeriana,-16.20277778,144.7519444
R165/T33,Eucalyptus staigeriana,-16.20277778,144.7519444
R165/T34,Eucalyptus staigeriana,-16.20277778,144.7519444
R166/T01,Eucalyptus moluccana (northern variant),-17.7275,145.0475
R166/T02,Eucalyptus moluccana (northern variant),-17.7275,145.0475
R166/T03,Eucalyptus moluccana (northern variant),-17.7275,145.0475
R166/T06,Eucalyptus shirleyi,-17.62444444,144.9852778
R166/T07,Eucalyptus shirleyi,-17.62444444,144.9852778
R166/T08,Eucalyptus shirleyi,-17.62444444,144.9852778
R166/T17,Eucalyptus decolor,-24.1975,151.2755556
R166/T19,Eucalyptus decolor,-24.1975,151.2755556
R166/T20,Eucalyptus decolor,-24.1975,151.2755556
R170/T05,Eucalyptus quadricostata,-20.48055556,145.3161111
R170/T06,Eucalyptus quadricostata,-20.48055556,145.3161111
R170/T07,Eucalyptus quadricostata,-20.48055556,145.3161111
R174/T13,Eucalyptus camaldulensis subsp. acuta,-28.70333333,148.1691667
R174/T14,Eucalyptus camaldulensis subsp. acuta,-28.70333333,148.1691667
R174/T15,Eucalyptus camaldulensis subsp. acuta,-28.70333333,148.1691667
R175/T16,Eucalyptus intertexta,-30.39055556,146.8455556
R175/T17,Eucalyptus intertexta,-30.39055556,146.8455556
R175/T18,Eucalyptus intertexta,-30.39055556,146.8455556
R177/T01,Eucalyptus lucens,-24,132.6508333
R177/T02,Eucalyptus lucens,-24,132.6508333
R177/T03,Eucalyptus lucens,-24,132.6508333
R177/T12,Eucalyptus largiflorens (green-leaf variant),-31.7725,140.8911111
R177/T13,Eucalyptus largiflorens (green-leaf variant),-31.7725,140.8911111
R178/T09,Eucalyptus leucoxylon subsp. pruinosa,-32.70555556,138.0269444
R178/T11,Eucalyptus leucoxylon subsp. pruinosa,-32.70555556,138.0269444
R178/T12,Eucalyptus leucoxylon subsp. pruinosa,-32.70555556,138.0269444
R178/T13,Eucalyptus camaldulensis subsp. arida,-31.88833333,141.2569444
R178/T14,Eucalyptus camaldulensis subsp. arida,-31.88833333,141.2569444
R178/T16,Eucalyptus camaldulensis subsp. arida,-31.88833333,141.2569444
R182/T34,Eucalyptus intertexta,-27.20333333,126.4402778
R182/T37,Eucalyptus intertexta,-27.20333333,126.4402778
R185/T28,Eucalyptus coolabah,-31.57472222,143.3905556
R185/T29,Eucalyptus coolabah,-31.57472222,143.3905556
R185/T30,Eucalyptus coolabah,-31.57472222,143.3905556
R185/T37,Eucalyptus petraea,-28.96388889,118.8672222
R185/T38,Eucalyptus petraea,-28.96388889,118.8672222
R185/T39,Eucalyptus petraea,-28.96388889,118.8672222
R186/T11,Eucalyptus populnea subsp. bimbil,-31.48666667,147.1097222
R186/T12,Eucalyptus populnea subsp. bimbil,-31.48666667,147.1097222
R186/T13,Eucalyptus populnea subsp. bimbil,-31.48666667,147.1097222
R187/T05,Eucalyptus leucoxylon subsp. pruinosa,-35.615,144.1386111
R187/T05,Eucalyptus leucoxylon subsp. pruinosa,-35.615,144.1386111
R187/T06,Eucalyptus leucoxylon subsp. pruinosa,-35.615,144.1386111
R187/T07,Eucalyptus leucoxylon subsp. pruinosa,-35.615,144.1386111
R187/T08,Eucalyptus microcarpa,-34.72,143.1152778
R187/T09,Eucalyptus microcarpa,-34.72,143.1152778
R187/T10,Eucalyptus microcarpa,-34.72,143.1152778
R188/T01,Eucalyptus odorata (E. silvestris),-36.34916667,140.9977778
R188/T02,Eucalyptus odorata (E. silvestris),-36.34916667,140.9977778
R188/T03,Eucalyptus odorata (E. silvestris),-36.34916667,140.9977778
R188/T13,Eucalyptus froggattii,-36.67888889,141.7355556
R188/T14,Eucalyptus froggattii,-36.67888889,141.7355556
R188/T15,Eucalyptus froggattii,-36.67888889,141.7355556
R189/T01,Eucalyptus polyanthemos subsp. polyanthemos,-35.26583333,147.9394444
R189/T03,Eucalyptus polyanthemos subsp. polyanthemos,-35.26583333,147.9394444
R189/T04,Eucalyptus polyanthemos subsp. polyanthemos,-35.26583333,147.9394444
R189/T23,Eucalyptus albens,-35.10583333,147.2002778
R189/T24,Eucalyptus albens,-35.10583333,147.2002778
R189/T26,Eucalyptus albens,-35.10583333,147.2002778
R189/T28,Eucalyptus leucoxylon subsp. stephaniae,-36.55888889,141.6511111
R189/T29,Eucalyptus leucoxylon subsp. stephaniae,-36.55888889,141.6511111
R190/T17,Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),-37.66166667,144.3641667
R190/T18,Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),-37.66166667,144.3641667
R190/T20,Eucalyptus leucoxylon subsp. leucoxylon (subsp. connata),-37.66166667,144.3641667
R190/T22,Eucalyptus caleyi subsp. ovendenii,-29.09666667,151.7163889
R190/T23,Eucalyptus caleyi subsp. ovendenii,-29.09666667,151.7163889
R190/T28,Eucalyptus exserta,-28.49055556,151.4513889
R190/T26,Eucalyptus exserta,-28.49055556,151.4513889
R190/T27,Eucalyptus exserta,-28.49055556,151.4513889
R191/T09,Eucalyptus tereticornis subsp. basaltica,-27.45388889,152.2027778
R191/T11,Eucalyptus tereticornis subsp. basaltica,-27.45388889,152.2027778
R191/T12,Eucalyptus tereticornis subsp. basaltica,-27.45388889,152.2027778
R191/T29,Eucalyptus scopulorum,-29.6125,152.2027778
R191/T30,Eucalyptus scopulorum,-29.6125,152.2027778
R191/T31,Eucalyptus scopulorum,-29.6125,152.2027778
R192/T05,Eucalyptus bosistoana,-36.17833333,149.7972222
R192/T07,Eucalyptus bosistoana,-36.17833333,149.7972222
R192/T08,Eucalyptus bosistoana,-36.17833333,149.7972222
R192/T21,Eucalyptus magnificata,-30.71916667,151.7222222
R192/T22,Eucalyptus magnificata,-30.71916667,151.7222222
R192/T24,Eucalyptus magnificata,-30.71916667,151.7222222
R194/T13,Eucalyptus rummeryi,-28.93305556,152.705
R194/T14,Eucalyptus rummeryi,-28.93305556,152.705
R196/T02,Eucalyptus fergusonii subsp. fergusonii,-32.64027778,151.9897222
R196/T03,Eucalyptus fergusonii subsp. fergusonii,-32.64027778,151.9897222
R196/T04,Eucalyptus fergusonii subsp. fergusonii,-32.64027778,151.9897222
R196/T10,Eucalyptus rudderi,-32.04388889,152.3691667
R196/T11,Eucalyptus rudderi,-32.04388889,152.3691667
R196/T12,Eucalyptus rudderi,-32.04388889,152.3691667
R197/T18,Eucalyptus tetrapleura,-29.90166667,153.0647222
R197/T19,Eucalyptus tetrapleura,-29.90166667,153.0647222
R197/T20,Eucalyptus tetrapleura,-29.90166667,153.0647222
R198/T15,Eucalyptus paniculata,-35.76916667,150.1491667
R198/T16,Eucalyptus paniculata,-35.76916667,150.1491667
R198/T17,Eucalyptus paniculata,-35.76916667,150.1491667
R220/T13,Eucalyptus albopurpurea,-34.83305556,135.7330556
R220/T15,Eucalyptus albopurpurea,-34.83305556,135.7330556
R220/T16,Eucalyptus albopurpurea,-34.83305556,135.7330556
R224/T21,Eucalyptus camaldulensis subsp. arida,-28.31944444,114.5391667
R224/T22,Eucalyptus camaldulensis subsp. arida,-28.31944444,114.5391667
R224/T23,Eucalyptus camaldulensis subsp. arida,-28.31944444,114.5391667
R229/T22,Eucalyptus petraea,-29.92333333,116.1122222
R229/T23,Eucalyptus petraea,-29.92333333,116.1122222
R235/T01,Eucalyptus cuprea,-27.74833333,114.675
R235/T02,Eucalyptus cuprea,-27.74833333,114.675
R235/T04,Eucalyptus cuprea,-27.74833333,114.675
R235/T25,Eucalyptus behriana,-34.46166667,135.6891667
R235/T27,Eucalyptus behriana,-34.46166667,135.6891667
R235/T28,Eucalyptus behriana,-34.46166667,135.6891667
R200/T21,Eucalyptus largiflorens,-28.70333333,138.4572222
R200/T24,Eucalyptus largiflorens,-28.70333333,138.4572222
R200/T25,Eucalyptus lucasii,-24.63805556,119.6091667
R200/T27,Eucalyptus lucasii,-24.63805556,119.6091667
