RowTree,TaxonoriginalDN,latitude,longitude
R200/T28,Eucalyptus lucasii,-24.63805556,119.6091667
R201/T13,Eucalyptus rowleyi,-22.53694444,121.4902778
R201/T15,Eucalyptus rowleyi,-22.53694444,121.4902778
R201/T21,Eucalyptus aridomontana,-22.72138889,117.7602778
R202/T08,Eucalyptus nudicaulis,-20.56638889,139.4777778
R202/T09,Eucalyptus nudicaulis,-20.56638889,139.4777778
R202/T11,Eucalyptus nudicaulis,-20.56638889,139.4777778
R203/T10,Eucalyptus normantonensis,-22.16666667,139.6436111
R203/T11,Eucalyptus normantonensis,-22.16666667,139.6436111
R207/T20,Eucalyptus blakelyi,-36.29861111,146.1644444
R207/T22,Eucalyptus blakelyi,-36.29861111,146.1644444
R207/T23,Eucalyptus blakelyi,-36.29861111,146.1644444
R244/T20,Eucalyptus camaldulensis subsp. obtusa,-15.87083333,127.3513889
R244/T21,Eucalyptus camaldulensis subsp. obtusa,-15.87083333,127.3513889
R244/T22,Eucalyptus camaldulensis subsp. obtusa,-15.87083333,127.3513889
R245/T10,Eucalyptus camaldulensis subsp. refulgens,-14.59916667,143.4397222
R245/T10,Eucalyptus camaldulensis subsp. refulgens,-20.92583333,119.7852778
R245/T12,Eucalyptus camaldulensis subsp. refulgens,-20.92583333,119.7852778
R300/T25,Eucalyptus camaldulensis subsp. minima,-32.59222222,139.5683333
R300/T28,Eucalyptus camaldulensis subsp. minima,-32.59222222,139.5683333
R300/T27,Eucalyptus camaldulensis subsp. minima,-32.59222222,139.5683333
R202/T21,Eucalyptus melanophloia subsp. nana,-20.88777778,139.4466667
R202/T22,Eucalyptus melanophloia subsp. nana,-20.88777778,139.4466667
R202/T23,Eucalyptus melanophloia subsp. nana,-20.88777778,139.4466667
R244/T20,Eucalyptus camaldulensis subsp. obtusa,-15.87083333,127.3513889
R244/T21,Eucalyptus camaldulensis subsp. obtusa,-15.87083333,127.3513889
R244/T22,Eucalyptus camaldulensis subsp. obtusa,-15.87083333,127.3513889
