RowTree,Sample,d13C,totalN,totalC
R198/T15,R198-T15.raw,-28.93,1.2,47.9
R198/T16,R198-T16.raw,-29.50,1.0,50.3
R198/T17,R198-T17.raw,-30.84,1.0,49.8
R220/T06,R220-T06.raw,-28.57,1.0,52.5
R220/T07,R220-T07.raw,-26.08,0.8,51.4
R220/T08,R220-T08.raw,-26.74,1.0,50.3
R220/T13,R220-T13.raw,-27.24,1.1,50.3
R220/T15,R220-T15.raw,-27.52,1.1,52.1
R220/T16,R220-T16.raw,-27.88,1.2,51.9
R323/T25,R323-T25.raw,-27.66,0.7,54.7
R323/T26,R323-T26.raw,-26.83,0.7,52.9
R323/T28,R323-T28.raw,-27.11,0.6,52.5
R221/T21,R221-T21.raw,-26.89,0.9,54.6
R221/T22,R221-T22.raw,-27.65,0.9,52.8
R221/T23,R221-T23.raw,-27.85,0.9,51.9
R221/T30,R221-T30.raw,-28.42,0.7,52.6
R221/T31,R221-T31.raw,-29.39,0.8,54.1
R221/T32,R221-T32.raw,-28.25,0.9,51.9
R221/T33,R221-T33.raw,-29.93,0.8,52.9
R221/T34,R221-T34.raw,-29.84,0.9,51.4
R222/T35,R222-T35.raw,-28.70,1.0,52.6
R222/T36,R222-T36.raw,-27.44,1.1,53.3
R222/T37,R222-T37.raw,-27.73,1.2,52.8
R222/T38,R222-T38.raw,-27.96,0.9,52.0
R224/T13,R224-T13.raw,-26.93,0.7,52.0
R224/T14,R224-T14.raw,-26.74,0.4,52.8
R224/T15,R224-T15.raw,-27.04,0.6,52.1
R224/T21,R224-T21.raw,-29.42,1.7,48.4
R224/T22,R224-T22.raw,-27.45,1.6,47.6
R224/T23,R224-T23.raw,-28.24,1.7,52.7
R224/T29,R224-T29.raw,-27.83,0.8,50.6
R224/T31,R224-T31.raw,-27.55,0.8,50.2
R224/T32,R224-T32.raw,-28.43,0.8,50.1
R224/T33,R224-T33.raw,-26.70,0.9,49.7
R224/T34,R224-T34.raw,-26.92,0.8,49.7
R224/T35,R224-T35.raw,-28.17,1.0,50.8
R227/T01,R227-T01.raw,-28.16,0.8,52.7
R227/T02,R227-T02.raw,-29.03,0.9,53.0
R227/T04,R227-T04.raw,-29.70,0.6,51.9
R227/T09,R227-T09.raw,-27.56,1.0,53.7
R227/T10,R227-T10.raw,-29.07,0.9,53.0
R229/T01,R229-T01.raw,-27.95,0.8,54.2
R229/T02,R229-T02.raw,-28.07,0.9,51.4
R229/T04,R229-T04.raw,-27.24,0.8,50.3
R229/T22,R229-T22.raw,-27.56,0.9,51.3
R229/T23,R229-T23.raw,-26.19,0.8,53.2
R231/T09,R231-T09.raw,-28.13,0.9,50.6
R231/T11,R231-T11.raw,-26.21,1.3,48.1
R231/T12,R231-T12.raw,-26.24,1.3,49.5
R233/T21,R233-T21.raw,-28.14,0.7,52.3
R233/T23,R233-T23.raw,-27.17,0.8,52.6
R233/T24,R233-T24.raw,-26.95,0.8,51.8
R234/T09,R234-T09.raw,-27.94,1.1,51.8
R234/T10,R234-T10.raw,-28.17,0.8,53.1
R235/T01,R235-T01.raw,-26.71,1.5,52.8
R235/T02,R235-T02.raw,-28.15,1.2,53.9
R235/T04,R235-T04.raw,-26.93,1.4,53.3
R235/T05,R235-T05.raw,-27.37,0.9,53.4
R235/T06,R235-T06.raw,-28.10,1.0,52.5
R235/T08,R235-T08.raw,-26.85,1.0,53.7
R235/T25,R235-T25.raw,-26.90,1.1,50.0
R235/T27,R235-T27.raw,-27.72,0.9,48.6
R235/T28,R235-T28.raw,-27.84,1.2,50.9
R238/T10,R238-T10.raw,-27.93,1.0,53.5
R238/T11,R238-T11.raw,-26.92,0.8,52.4
R238/T12,R238-T12.raw,-27.01,0.6,53.8
R239/T05,R239-T05.raw,-29.44,1.1,49.3
R239/T07,R239-T07.raw,-29.44,1.0,52.0
R199/T28,R199-T28.raw,-26.35,0.9,52.2
R199/T30,R199-T30.raw,-27.27,0.9,50.8
R200/T21,R200-T21.raw,-26.20,1.0,51.3
R200/T24,R200-T24.raw,-28.89,0.9,52.0
R200/T27,R200-T27.raw,-27.00,1.9,52.2
R200/T25,R200-T25.raw,-26.44,1.4,52.1
R200/T28,R200-T28.raw,-27.59,1.2,51.9
R200/T29,R200-T29.raw,-27.38,0.9,48.5
R200/T30,R200-T30.raw,-25.80,0.8,50.1
R200/T31,R200-T31.raw,-28.24,0.9,49.3
R201/T13,R201-T13.raw,-27.97,0.9,52.8
R201/T15,R201-T15.raw,-27.59,1.0,52.8
R201/T21,R201-T21.raw,-28.25,1.0,53.8
R202/T08,R202-T08.raw,-27.57,0.9,53.7
R202/T09,R202-T09.raw,-28.65,1.1,54.4
R202/T11,R202-T11.raw,-28.63,0.9,54.8
R202/T21,R202-T21.raw,-28.38,0.8,48.0
R202/T22,R202-T22.raw,-27.82,1.0,48.4
R202/T23,R202-T23.raw,-29.00,0.8,49.2
R203/T10,R203-T10.raw,-26.36,0.8,50.1
R203/T11,R203-T11.raw,-27.18,1.0,50.9
R206/T05,R206-T05.raw,-25.27,0.8,52.3
R206/T06,R206-T06.raw,-26.62,0.7,52.6
R206/T07,R206-T07.raw,-27.38,0.7,51.3
R207/T20,R207-T20.raw,-28.74,1.1,53.2
R207/T22,R207-T22.raw,-29.11,0.9,49.1
R207/T23,R207-T23.raw,-28.73,1.0,53.2
R208/T16,R208-T16.raw,-27.32,1.0,51.0
R208/T18,R208-T18.raw,-27.77,0.7,51.0
R208/T19,R208-T19.raw,-27.09,0.9,52.6
R241/T16,R241-T16.raw,-26.62,1.2,49.6
R241/T17,R241-T17.raw,-26.50,1.0,49.7
R245/T10,R245-T10.raw,-27.53,1.4,47.8
R245/T12,R245-T12.raw,-29.32,1.6,49.8
R300/T25,R300-T25.raw,-27.30,1.0,53.6
R300/T27,R300-T27.raw,-27.32,1.1,53.4
R300/T28,R300-T28.raw,-28.26,1.6,50.8
R244/T20,R244-T20.raw,-30.36,1.4,49.8
R244/T21,R244-T21.raw,-28.54,1.4,51.0
R244/T22,R244-T22.raw,-29.56,1.5,49.1
R011/T14,R11-T14.raw,-26.20,0.8,51.5
R011/T15,R11-T15.raw,-26.56,0.8,51.7
R011/T17,R11-T17.raw,-26.88,0.7,52.1
R011/T24,R11-T24.raw,-25.97,0.8,54.1
R011/T25,R11-T25.raw,-26.88,0.8,51.9
R011/T26,R11-T26.raw,-25.96,0.8,52.0
R012/T29,R12-T29.raw,-27.02,0.9,52.7
R012/T30,R12-T30.raw,-27.78,1.0,54.3
R012/T31,R12-T31.raw,-28.48,0.9,51.7
R015/T13,R15-T13.raw,-26.61,0.9,55.0
R015/T15,R15-T15.raw,-27.01,1.0,52.1
R015/T16,R15-T16.raw,-25.36,0.9,53.3
R025/T06,R25-T06.raw,-27.16,0.8,50.4
R025/T07,R25-T07.raw,-28.02,0.9,52.6
R025/T09,R25-T09.raw,-27.73,0.7,51.1
R042/T33,R42-T33.raw,-27.31,0.7,50.8
