species,section,latitude,longitude
Eucalyptus behriana,Adnataria,-34.46166667,135.6891667
Eucalyptus largiflorens,Adnataria,-28.70333333,138.4572222
Eucalyptus largiflorens,Adnataria,-28.70333333,138.4572222
Eucalyptus lucasii,Adnataria,-24.63805556,119.6091667
Eucalyptus lucasii,Adnataria,-24.63805556,119.6091667
Eucalyptus lucasii,Adnataria,-24.63805556,119.6091667
Eucalyptus rowleyi,Adnataria,-22.53694444,121.4902778
Eucalyptus rowleyi,Adnataria,-22.53694444,121.4902778
Eucalyptus aridomontana,Adnataria,-22.72138889,117.7602778
Eucalyptus nudicaulis,Exsertaria,-20.56638889,139.4777778
Eucalyptus nudicaulis,Exsertaria,-20.56638889,139.4777778
Eucalyptus nudicaulis,Exsertaria,-20.56638889,139.4777778
Eucalyptus normantonensis,Adnataria,-22.16666667,139.6436111
Eucalyptus normantonensis,Adnataria,-22.16666667,139.6436111
Eucalyptus blakelyi,Exsertaria,-36.29861111,146.1644444
Eucalyptus blakelyi,Exsertaria,-36.29861111,146.1644444
Eucalyptus blakelyi,Exsertaria,-36.29861111,146.1644444
Eucalyptus camaldulensis subsp. obtusa,Exsertaria,-15.87083333,127.3513889
Eucalyptus camaldulensis subsp. obtusa,Exsertaria,-15.87083333,127.3513889
Eucalyptus camaldulensis subsp. obtusa,Exsertaria,-15.87083333,127.3513889
Eucalyptus camaldulensis subsp. refulgens,Exsertaria,-14.59916667,143.4397222
Eucalyptus camaldulensis subsp. refulgens,Exsertaria,-20.92583333,119.7852778
Eucalyptus camaldulensis subsp. refulgens,Exsertaria,-20.92583333,119.7852778
Eucalyptus camaldulensis subsp. minima,Exsertaria,-32.59222222,139.5683333
Eucalyptus camaldulensis subsp. minima,Exsertaria,-32.59222222,139.5683333
Eucalyptus camaldulensis subsp. minima,Exsertaria,-32.59222222,139.5683333
Eucalyptus melanophloia subsp. nana,Adnataria,-20.88777778,139.4466667
Eucalyptus melanophloia subsp. nana,Adnataria,-20.88777778,139.4466667
Eucalyptus melanophloia subsp. nana,Adnataria,-20.88777778,139.4466667
Eucalyptus camaldulensis subsp. obtusa,Exsertaria,-15.87083333,127.3513889
Eucalyptus camaldulensis subsp. obtusa,Exsertaria,-15.87083333,127.3513889
Eucalyptus camaldulensis subsp. obtusa,Exsertaria,-15.87083333,127.3513889
