UniqueID,Yearplanted,RowTree,Collector,Population,Status,Current.name,FieldID,Status.1,Observations,TaxonoriginalDN,Section,Regeneration.Strategy,AICorrected,MAT,MAP,Drought2019Scale.mean,Drought2019Scale.sd,Drought2019Scale.l,Drought2020Scale.mean,Drought2020Scale.sd,Drought2020Scale.l,AridityClass,Victoria ,Anne,Sampled.ANU,Threatened NSW,Final
75,1994,R044/T01,,"Waitpinga, SA",,Eucalyptus cneorifolia,CCA0615,OK,,Eucalyptus cneorifolia,Bisectae,Lignotuber,0.4314,19.66666603,713,1.666666667,,3,1.333333333,,3,Semiarid,X,,,,x
75,1994,R044/T03,,"Waitpinga, SA",,Eucalyptus cneorifolia,CCA0616,OK,,Eucalyptus cneorifolia,Bisectae,Lignotuber,0.4314,19.66666603,713,1.666666667,,3,1.333333333,,3,Semiarid,X,,,,x
75,1994,R044/T04,,"Waitpinga, SA",,Eucalyptus cneorifolia,CCA0617,OK,,Eucalyptus cneorifolia,Bisectae,Lignotuber,0.4314,19.66666603,713,1.666666667,,3,1.333333333,,3,Semiarid,X,,,,x
423,1994,R045/T13,D.Nicolle,"Everard Ranges, SA",Alive,Eucalyptus intertexta,CCA0650,Dead,,Eucalyptus intertexta,Adnataria,Combination,0.0934,19.89167,274,0,0,4,0,0,4,Arid,X,x,x,,x
565,1994,R049/T32,D.Nicolle,"Mt Aleck, SA",Alive,Eucalyptus goniocalyx subsp. exposa,CCA0755,OK,,Eucalyptus goniocalyx subsp. exposa,Maidenaria,Combination,0.1351,17.86667,331,1.333333333,0.577350269,4,2,0,4,Arid,X,,,,
565,1994,R049/T34,D.Nicolle,"Mt Aleck, SA",Alive,Eucalyptus goniocalyx subsp. exposa,CCA0756,OK,,Eucalyptus goniocalyx subsp. exposa,Maidenaria,Combination,0.1351,17.86667,331,1.333333333,0.577350269,4,2,0,4,Arid,X,,,,
565,1994,R049/T35,D.Nicolle,"Mt Aleck, SA",Alive,Eucalyptus goniocalyx subsp. exposa,CCA0757,Only genomics,,Eucalyptus goniocalyx subsp. exposa,Maidenaria,Combination,0.1351,17.86667,331,1.333333333,0.577350269,4,2,0,4,Arid,X,,,,
570,1994,R060/T34,D.Nicolle,"Beechworth, Vic",Alive,Eucalyptus bridgesiana,CCA0961,OK,,Eucalyptus bridgesiana,Maidenaria,Combination,0.5384,14.09583,858,1.5,0.577350269,4,1,0,4,DrySubhumid,X,,,,
570,1994,R060/T33,D.Nicolle,"Beechworth, Vic",Alive,Eucalyptus bridgesiana,CCA0960,OK,,Eucalyptus bridgesiana,Maidenaria,Combination,0.5384,14.09583,858,1.5,0.577350269,4,1,0,4,DrySubhumid,X,,,,
570,1994,R060/T36,D.Nicolle,"Beechworth, Vic",Alive,Eucalyptus bridgesiana,CCA0963,OK,,Eucalyptus bridgesiana,Maidenaria,Combination,0.5384,14.09583,858,1.5,0.577350269,4,1,0,4,DrySubhumid,X,,,,
570,1994,R060/T35,D.Nicolle,"Beechworth, Vic",Alive,Eucalyptus bridgesiana,CCA0962,OK,,Eucalyptus bridgesiana,Maidenaria,Combination,0.5384,14.09583,858,1.5,0.577350269,4,1,0,4,DrySubhumid,X,,,,
574,1998,R159/T28,D.Nicolle,"Mt Buffalo, Vic",Alive,Eucalyptus mitchelliana,CCA3269,OK,,Eucalyptus mitchelliana,Eucalyptus,Uncertain,1.2416,8.595833,1498,0,0,2,2,,2,Humid,,,,,
