Taxon,Collector,Collector's #,Mother tree generalised location collected,Latitude degrees (south),Latitude minutes (south),Latitude seconds (south),Longitude degrees (east),Longitude minutes (east),Longitude seconds (east),Row #,Tree #,Status in Feb 2016,Drought stress (June 2019),Time since death (June 2019),2006 dieback/death,Maturity at June 2019,Year planted,RowTree,,,
Eucalyptus ebbanoensis subsp. photina,D.Nicolle,270,"Mt Michael, WA",28,53,55,114,57,54,10,8,Alive,Dead (non-drought),,,,1993,R010/T08,,,
Eucalyptus leptopoda subsp. arctata,D.Nicolle,291,"Ballidu, WA",30,35,19,116,45,25,10,9,Dead,,,,,1993,R010/T09,,,
Eucalyptus platydisca,D.Nicolle,133,"Mt Norcott, WA",32,7,6,122,0,31,11,1,Alive,None evident,,None evident,Flowered,1993,R011/T01,,,
Eucalyptus goniocarpa,D.Nicolle,186,"Lake King, WA",33,8,1,119,42,16,11,10,Alive,None evident,,None evident,Flowered,1993,R011/T10,,,
Eucalyptus laevis,D.Nicolle,120,"Balladonia, WA",32,13,57,123,23,24,11,11,Alive,None evident,,None evident,Flowered,1993,R011/T11,,,
Eucalyptus laevis,D.Nicolle,120,"Balladonia, WA",32,13,57,123,23,24,11,12,Dead,,,,,1993,R011/T12,,,
Eucalyptus laevis,D.Nicolle,120,"Balladonia, WA",32,13,57,123,23,24,11,13,Alive,None evident,,None evident,Flowered,1993,R011/T13,,,
Eucalyptus dundasii,D.Nicolle,129,"Fraser Range, WA",32,1,30,122,46,26,11,14,Alive,None evident,,None evident,Flowered,1993,R011/T14,,,
Eucalyptus dundasii,D.Nicolle,129,"Fraser Range, WA",32,1,30,122,46,26,11,15,Alive,None evident,,None evident,Flowered,1993,R011/T15,,,
Eucalyptus dundasii,D.Nicolle,129,"Fraser Range, WA",32,1,30,122,46,26,11,16,Alive,None evident,,None evident,Flowered,1993,R011/T16,,,
Eucalyptus dundasii,D.Nicolle,129,"Fraser Range, WA",32,1,30,122,46,26,11,17,Alive,None evident,,None evident,Flowered,1993,R011/T17,,,
Eucalyptus leptopoda subsp. subluta,D.Nicolle,336,"Callion, WA",30,3,5,120,50,16,11,18,Alive,None evident,,None evident,,1993,R011/T18,,,
Eucalyptus clelandiorum,D.Nicolle,333,"Callion, WA",30,12,23,120,37,54,11,19,Alive,None evident,,None evident,Flowered,1993,R011/T19,,,
Eucalyptus platydisca,D.Nicolle,133,"Mt Norcott, WA",32,7,6,122,0,31,11,2,Alive,None evident,,None evident,Flowered,1993,R011/T02,,,
Eucalyptus clelandiorum,D.Nicolle,333,"Callion, WA",30,12,23,120,37,54,11,20,Alive,None evident,,None evident,Flowered,1993,R011/T20,,,
Eucalyptus clelandiorum,D.Nicolle,333,"Callion, WA",30,12,23,120,37,54,11,21,Dead,,,,,1993,R011/T21,,,
Eucalyptus clelandiorum,D.Nicolle,333,"Callion, WA",30,12,23,120,37,54,11,22,Alive,None evident,,None evident,Flowered,1993,R011/T22,,,
Eucalyptus petraea,D.Nicolle,339,"Cardunia Rocks, WA",30,56,4,122,33,1,11,23,Alive,None evident,,None evident,Flowered,1993,R011/T23,,,
Eucalyptus petraea,D.Nicolle,339,"Cardunia Rocks, WA",30,56,4,122,33,1,11,24,Alive,None evident,,None evident,Flowered,1993,R011/T24,,,
Eucalyptus petraea,D.Nicolle,339,"Cardunia Rocks, WA",30,56,4,122,33,1,11,25,Alive,None evident,,None evident,Flowered,1993,R011/T25,,,
Eucalyptus petraea,D.Nicolle,339,"Cardunia Rocks, WA",30,56,4,122,33,1,11,26,Alive,None evident,,None evident,Flowered,1993,R011/T26,,,
Eucalyptus melanoxylon,D.Nicolle,143,"Lake Gilmore, WA",32,40,16,121,32,23,11,27,Alive,None evident,,None evident,Flowered,1993,R011/T27,,,
Eucalyptus melanoxylon,D.Nicolle,143,"Lake Gilmore, WA",32,40,16,121,32,23,11,28,Alive,None evident,,None evident,Flowered,1993,R011/T28,,,
Eucalyptus melanoxylon,D.Nicolle,143,"Lake Gilmore, WA",32,40,16,121,32,23,11,29,Dead,,,,,1993,R011/T29,,,
Eucalyptus platydisca,D.Nicolle,133,"Mt Norcott, WA",32,7,6,122,0,31,11,3,Dead,,,,,1993,R011/T03,,,
Eucalyptus melanoxylon,D.Nicolle,143,"Lake Gilmore, WA",32,40,16,121,32,23,11,30,Alive,None evident,,None evident,Flowered,1993,R011/T30,,,
Eucalyptus vegrandis subsp. vegrandis,D.Nicolle,207,"Jerramungup, WA",34,4,21,119,2,43,11,31,Alive,None evident,,None evident,Flowered,1993,R011/T31,,,
Eucalyptus vegrandis subsp. vegrandis,D.Nicolle,207,"Jerramungup, WA",34,4,21,119,2,43,11,32,Alive,None evident,,None evident,Flowered,1993,R011/T32,,,
Eucalyptus vegrandis subsp. vegrandis,D.Nicolle,207,"Jerramungup, WA",34,4,21,119,2,43,11,33,Alive,None evident,,None evident,Flowered,1993,R011/T33,,,
Eucalyptus vegrandis subsp. vegrandis,D.Nicolle,207,"Jerramungup, WA",34,4,21,119,2,43,11,34,Alive,None evident,,None evident,Flowered,1993,R011/T34,,,
Eucalyptus kumarlensis,D.Nicolle,141,"Beete, WA",32,38,33,121,30,21,11,35,Alive,None evident,,None evident,Flowered,1993,R011/T35,,,
Eucalyptus kumarlensis,D.Nicolle,141,"Beete, WA",32,38,33,121,30,21,11,36,Alive,None evident,,None evident,Flowered,1993,R011/T36,,,
Eucalyptus kumarlensis,D.Nicolle,141,"Beete, WA",32,38,33,121,30,21,11,37,Dead,,,,,1993,R011/T37,,,
Eucalyptus kumarlensis,D.Nicolle,141,"Beete, WA",32,38,33,121,30,21,11,38,Alive,None evident,,None evident,Flowered,1993,R011/T38,,,
Eucalyptus flavida,D.Nicolle,343,"Bronco Plains, WA",30,50,27,122,50,13,11,4,Alive,None evident,,None evident,Flowered,1993,R011/T04,,,
