Taxon,Collector,Collector's #,Mother tree generalised location collected,Latitude degrees (south),Latitude minutes (south),Latitude seconds (south),Longitude degrees (east),Longitude minutes (east),Longitude seconds (east),Row #,Tree #,Status in Feb 2016,Drought stress (June 2019),Time since death (June 2019),2006 dieback/death,Maturity at June 2019,Year planted,RowTree,,,
Corymbia ferriticola,D.Nicolle,2752,"Meekatharra, WA",26,21,48,118,24,34,182,22,Alive,None evident,,None evident,,2000,R182/T22,,,
Corymbia ferriticola,D.Nicolle,2752,"Meekatharra, WA",26,21,48,118,24,34,182,23,Alive,None evident,,None evident,,2000,R182/T23,,,
Corymbia ferriticola,D.Nicolle,2752,"Meekatharra, WA",26,21,48,118,24,34,182,24,Alive,Moderate,,None evident,,2000,R182/T24,,,
Corymbia ferriticola,D.Nicolle,2752,"Meekatharra, WA",26,21,48,118,24,34,182,25,Alive,Moderate,,None evident,,2000,R182/T25,,,
Eucalyptus sparsa,D.Nicolle,2684,"Blackstone Range, WA",26,6,8,128,23,41,182,26,Alive,None evident,,None evident,Flowered,2000,R182/T26,,,
Eucalyptus sparsa,D.Nicolle,2684,"Blackstone Range, WA",26,6,8,128,23,41,182,27,Dead,,,,,2000,R182/T27,,,
Eucalyptus sparsa,D.Nicolle,2684,"Blackstone Range, WA",26,6,8,128,23,41,182,28,Dead,,,,,2000,R182/T28,,,
Eucalyptus sparsa,D.Nicolle,2684,"Blackstone Range, WA",26,6,8,128,23,41,182,29,Alive,None evident,,None evident,,2000,R182/T29,,,
Eucalyptus oleosa subsp. oleosa,D.Nicolle,2319,"Immarna Siding, SA",30,29,11,132,7,44,182,3,Alive,None evident,,None evident,Flowered,2000,R182/T03,,,
Eucalyptus rigidula,D.Nicolle,2713,"Cosmo Newbery, WA",27,48,41,123,58,11,182,30,Dead,,,,,2000,R182/T30,,,
Eucalyptus rigidula,D.Nicolle,2713,"Cosmo Newbery, WA",27,48,41,123,58,11,182,31,Dead,,,,,2000,R182/T31,,,
Eucalyptus rigidula,D.Nicolle,2713,"Cosmo Newbery, WA",27,48,41,123,58,11,182,32,Dead,,,,,2000,R182/T32,,,
Eucalyptus rigidula,D.Nicolle,2713,"Cosmo Newbery, WA",27,48,41,123,58,11,182,33,Alive,None evident,,None evident,,2000,R182/T33,,,
Eucalyptus intertexta,D.Nicolle,2677,"Warburton, WA",27,12,12,126,26,25,182,34,Alive,None evident,,None evident,Flowered,2000,R182/T34,,,
Eucalyptus intertexta,D.Nicolle,2677,"Warburton, WA",27,12,12,126,26,25,182,35,Dead,,,,,2000,R182/T35,,,
Eucalyptus intertexta,D.Nicolle,2677,"Warburton, WA",27,12,12,126,26,25,182,36,Alive,None evident,,None evident,Flowered,2000,R182/T36,,,
Eucalyptus intertexta,D.Nicolle,2677,"Warburton, WA",27,12,12,126,26,25,182,37,Alive,None evident,,None evident,Flowered,2000,R182/T37,,,
Corymbia abbreviata,D.Nicolle,1932,"Kununurra, WA",15,45,42,127,43,42,182,38,Dead,,,,,2000,R182/T38,,,
Corymbia abbreviata,D.Nicolle,1932,"Kununurra, WA",15,45,42,127,43,42,182,39,Dead,,,,,2000,R182/T39,,,
Eucalyptus oleosa subsp. oleosa,D.Nicolle,2319,"Immarna Siding, SA",30,29,11,132,7,44,182,4,Alive,None evident,,None evident,Flowered,2000,R182/T04,,,
Eucalyptus incrassata ,D.Nicolle,2802,"Madura Beach, WA",32,14,13,127,5,32,182,5,Alive,None evident,,None evident,Flowered,2000,R182/T05,,,
Eucalyptus incrassata ,D.Nicolle,2802,"Madura Beach, WA",32,14,13,127,5,32,182,6,Alive,None evident,,None evident,Flowered,2000,R182/T06,,,
Eucalyptus incrassata ,D.Nicolle,2802,"Madura Beach, WA",32,14,13,127,5,32,182,7,Alive,None evident,,None evident,Flowered,2000,R182/T07,,,
Eucalyptus incrassata ,D.Nicolle,2802,"Madura Beach, WA",32,14,13,127,5,32,182,8,Alive,None evident,,None evident,Flowered,2000,R182/T08,,,
Corymbia chippendalei,D.Nicolle,2695,"Warburton, WA",26,13,11,126,18,18,182,9,Dead,,,,,2000,R182/T09,,,
Eucalyptus ebbanoensis subsp. glauciramula,D.Nicolle,2726,"Balpe Lakes, WA",29,12,40,123,14,38,183,1,Alive,None evident,,None evident,Flowered,2000,R183/T01,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,10,Alive,None evident,,None evident,Flowered,2000,R183/T10,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,11,Alive,None evident,,None evident,Flowered,2000,R183/T11,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,12,Alive,None evident,,None evident,Flowered,2000,R183/T12,,,
Eucalyptus glomerosa,D.Nicolle,1508,"Voakes Hill, SA",28,52,56,130,27,43,183,13,Alive,None evident,,None evident,Flowered,2000,R183/T13,,,
Eucalyptus glomerosa,D.Nicolle,1508,"Voakes Hill, SA",28,52,56,130,27,43,183,14,Dead,,,,,2000,R183/T14,,,
Eucalyptus glomerosa,D.Nicolle,1508,"Voakes Hill, SA",28,52,56,130,27,43,183,15,Alive,None evident,,None evident,Flowered,2000,R183/T15,,,
Eucalyptus glomerosa,D.Nicolle,1508,"Voakes Hill, SA",28,52,56,130,27,43,183,16,Dead,,,,,2000,R183/T16,,,
Eucalyptus concinna (SA big fruit variant),D.Nicolle,2631,"Oak Valley, SA",29,20,9,130,13,17,183,17,Alive,None evident,,None evident,,2000,R183/T17,,,
Eucalyptus concinna (SA big fruit variant),D.Nicolle,2631,"Oak Valley, SA",29,20,9,130,13,17,183,18,Dead,,,,,2000,R183/T18,,,
Eucalyptus concinna (SA big fruit variant),D.Nicolle,2631,"Oak Valley, SA",29,20,9,130,13,17,183,19,Alive,None evident,,None evident,Flowered,2000,R183/T19,,,
Eucalyptus ebbanoensis subsp. glauciramula,D.Nicolle,2726,"Balpe Lakes, WA",29,12,40,123,14,38,183,2,Alive,None evident,,None evident,Flowered,2000,R183/T02,,,
Eucalyptus concinna (SA big fruit variant),D.Nicolle,2631,"Oak Valley, SA",29,20,9,130,13,17,183,20,Alive,None evident,,None evident,Budded,2000,R183/T20,,,
Eucalyptus oleosa subsp. oleosa,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,183,21,Alive,None evident,,None evident,Flowered,2000,R183/T21,,,
Eucalyptus oleosa subsp. oleosa,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,183,22,Alive,None evident,,None evident,Flowered,2000,R183/T22,,,
Eucalyptus oleosa subsp. oleosa,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,183,23,Alive,None evident,,None evident,Flowered,2000,R183/T23,,,
Eucalyptus oleosa subsp. oleosa,D.Nicolle,1393,"Tarcoola, SA",30,48,17,134,8,5,183,24,Alive,None evident,,None evident,Flowered,2000,R183/T24,,,
"Eucalyptus ravida
",D.Nicolle,2781,"Coonana, WA",31,1,19,123,4,18,183,25,Dead,,,,,2000,R183/T25,,,
"Eucalyptus ravida
",D.Nicolle,2781,"Coonana, WA",31,1,19,123,4,18,183,26,Alive,None evident,,None evident,Flowered,2000,R183/T26,,,
"Eucalyptus ravida
",D.Nicolle,2781,"Coonana, WA",31,1,19,123,4,18,183,27,Dead,,,,,2000,R183/T27,,,
"Eucalyptus ravida
",D.Nicolle,2781,"Coonana, WA",31,1,19,123,4,18,183,28,Alive,None evident,,None evident,,2000,R183/T28,,,
Eucalyptus odontocarpa,D.Nicolle,1199,"Great Sandy Desert, WA",22,30,22,124,4,56,183,29,Dead,,,,,2000,R183/T29,,,
Eucalyptus ebbanoensis subsp. glauciramula,D.Nicolle,2726,"Balpe Lakes, WA",29,12,40,123,14,38,183,3,Dead,,,,,2000,R183/T03,,,
Eucalyptus odontocarpa,D.Nicolle,1199,"Great Sandy Desert, WA",22,30,22,124,4,56,183,30,Alive,None evident,,None evident,,2000,R183/T30,,,
Eucalyptus odontocarpa,D.Nicolle,1199,"Great Sandy Desert, WA",22,30,22,124,4,56,183,31,Dead,,,,,2000,R183/T31,,,
Eucalyptus odontocarpa,D.Nicolle,1199,"Great Sandy Desert, WA",22,30,22,124,4,56,183,32,Dead,,,,,2000,R183/T32,,,
Eucalyptus gillii,D.Nicolle,2959,"Corona, NSW",31,23,55,141,28,37,183,33,Alive,None evident,,None evident,Flowered,2000,R183/T33,,,
Eucalyptus gillii,D.Nicolle,2959,"Corona, NSW",31,23,55,141,28,37,183,34,Alive,None evident,,None evident,Flowered,2000,R183/T34,,,
Eucalyptus gillii,D.Nicolle,2959,"Corona, NSW",31,23,55,141,28,37,183,35,Alive,None evident,,None evident,Flowered,2000,R183/T35,,,
Eucalyptus gillii,D.Nicolle,2959,"Corona, NSW",31,23,55,141,28,37,183,36,Alive,None evident,,None evident,Flowered,2000,R183/T36,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,37,Alive,None evident,,None evident,Flowered,2000,R183/T37,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,38,Alive,None evident,,None evident,Flowered,2000,R183/T38,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,39,Alive,None evident,,None evident,Flowered,2000,R183/T39,,,
Eucalyptus ebbanoensis subsp. glauciramula,D.Nicolle,2726,"Balpe Lakes, WA",29,12,40,123,14,38,183,4,Alive,None evident,,None evident,Flowered,2000,R183/T04,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2123,"Penong, SA",31,54,34,132,57,33,183,40,Dead,,,,,2000,R183/T40,,,
Eucalyptus calcareana ,D.Nicolle,2800,"Madura Pass, WA",31,53,52,127,1,6,183,5,Alive,None evident,,None evident,Flowered,2000,R183/T05,,,
Eucalyptus calcareana ,D.Nicolle,2800,"Madura Pass, WA",31,53,52,127,1,6,183,6,Alive,None evident,,None evident,Flowered,2000,R183/T06,,,
Eucalyptus calcareana ,D.Nicolle,2800,"Madura Pass, WA",31,53,52,127,1,6,183,7,Alive,None evident,,None evident,Flowered,2000,R183/T07,,,
Eucalyptus calcareana ,D.Nicolle,2800,"Madura Pass, WA",31,53,52,127,1,6,183,8,Alive,None evident,,None evident,Flowered,2000,R183/T08,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2135,"Nullarbor, SA",31,35,14,129,50,21,183,9,Dead,,,,,2000,R183/T09,,,
Eucalyptus vicina (Mootwingie variant),D.Nicolle,2964,"Mootwingie 1, NSW",31,17,41,142,18,29,184,1,Alive,None evident,,None evident,Flowered,2000,R184/T01,,,
Eucalyptus concinna (small fruit variant),D.Nicolle,2715,"Cosmo Newbery, WA",27,50,5,123,55,38,184,10,Alive,None evident,,None evident,Flowered,2000,R184/T10,,,
Eucalyptus concinna (small fruit variant),D.Nicolle,2715,"Cosmo Newbery, WA",27,50,5,123,55,38,184,11,Alive,None evident,,None evident,Flowered,2000,R184/T11,,,
Eucalyptus concinna (small fruit variant),D.Nicolle,2715,"Cosmo Newbery, WA",27,50,5,123,55,38,184,12,Alive,None evident,,None evident,Flowered,2000,R184/T12,,,
Eucalyptus oldfieldii,D.Nicolle,2732,"Balpe Lakes, WA",29,25,52,123,27,32,184,13,Dead,,,,,2000,R184/T13,,,
Eucalyptus oldfieldii,D.Nicolle,2732,"Balpe Lakes, WA",29,25,52,123,27,32,184,14,Alive,None evident,,None evident,Flowered,2000,R184/T14,,,
Eucalyptus oldfieldii,D.Nicolle,2732,"Balpe Lakes, WA",29,25,52,123,27,32,184,15,Alive,None evident,,None evident,Flowered,2000,R184/T15,,,
Eucalyptus oldfieldii,D.Nicolle,2732,"Balpe Lakes, WA",29,25,52,123,27,32,184,16,Alive,None evident,,None evident,Flowered,2000,R184/T16,,,
Eucalyptus platycorys,D.Nicolle,2733,Lake Minigwal,29,35,9,123,33,23,184,17,Alive,None evident,,None evident,,2000,R184/T17,,,
Eucalyptus platycorys,D.Nicolle,2733,Lake Minigwal,29,35,9,123,33,23,184,18,Alive,None evident,,None evident,Flowered,2000,R184/T18,,,
Eucalyptus platycorys,D.Nicolle,2733,Lake Minigwal,29,35,9,123,33,23,184,19,Alive,None evident,,None evident,Flowered,2000,R184/T19,,,
Eucalyptus vicina (Mootwingie variant),D.Nicolle,2964,"Mootwingie 1, NSW",31,17,41,142,18,29,184,2,Alive,None evident,,None evident,Flowered,2000,R184/T02,,,
Eucalyptus platycorys,D.Nicolle,2733,Lake Minigwal,29,35,9,123,33,23,184,20,Alive,None evident,,None evident,Flowered,2000,R184/T20,,,
Eucalyptus capillosa (E. nigrifunda),D.Nicolle,2722,"Point Bott, WA",28,50,7,123,29,59,184,21,Dead,,,,,2000,R184/T21,,,
Eucalyptus capillosa (E. nigrifunda),D.Nicolle,2722,"Point Bott, WA",28,50,7,123,29,59,184,22,Dead,,,,,2000,R184/T22,,,
Eucalyptus capillosa (E. nigrifunda),D.Nicolle,2722,"Point Bott, WA",28,50,7,123,29,59,184,23,Dead,,,,,2000,R184/T23,,,
Eucalyptus capillosa (E. nigrifunda),D.Nicolle,2722,"Point Bott, WA",28,50,7,123,29,59,184,24,Dead,,,,,2000,R184/T24,,,
"Eucalyptus pimpiniana 
",D.Nicolle,2738,"Mulga Rockhole, WA",29,58,57,123,7,42,184,25,Alive,None evident,,None evident,Flowered,2000,R184/T25,,,
"Eucalyptus pimpiniana 
",D.Nicolle,2738,"Mulga Rockhole, WA",29,58,57,123,7,42,184,26,Alive,None evident,,None evident,Flowered,2000,R184/T26,,,
"Eucalyptus pimpiniana 
",D.Nicolle,2738,"Mulga Rockhole, WA",29,58,57,123,7,42,184,27,Alive,None evident,,None evident,Flowered,2000,R184/T27,,,
"Eucalyptus pimpiniana 
",D.Nicolle,2738,"Mulga Rockhole, WA",29,58,57,123,7,42,184,28,Alive,None evident,,None evident,Flowered,2000,R184/T28,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2596,"Wirrula, SA",32,24,41,134,24,26,184,29,Alive,None evident,,None evident,Flowered,2000,R184/T29,,,
Eucalyptus vicina (Mootwingie variant),D.Nicolle,2964,"Mootwingie 1, NSW",31,17,41,142,18,29,184,3,Alive,None evident,,None evident,Flowered,2000,R184/T03,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2596,"Wirrula, SA",32,24,41,134,24,26,184,30,Alive,None evident,,None evident,Flowered,2000,R184/T30,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2596,"Wirrula, SA",32,24,41,134,24,26,184,31,Alive,None evident,,None evident,Flowered,2000,R184/T31,,,
Eucalyptus oleosa subsp. ampliata,D.Nicolle,2596,"Wirrula, SA",32,24,41,134,24,26,184,32,Alive,None evident,,None evident,Flowered,2000,R184/T32,,,
Eucalyptus ewartiana,D.Nicolle,2721,"Mt Dennis, WA",28,54,39,122,55,41,184,33,Dead,,,,,2000,R184/T33,,,
Eucalyptus ewartiana,D.Nicolle,2721,"Mt Dennis, WA",28,54,39,122,55,41,184,34,Dead,,,,,2000,R184/T34,,,
Eucalyptus ewartiana,D.Nicolle,2721,"Mt Dennis, WA",28,54,39,122,55,41,184,35,Dead,,,,,2000,R184/T35,,,
Eucalyptus ewartiana,D.Nicolle,2721,"Mt Dennis, WA",28,54,39,122,55,41,184,36,Alive,None evident,,None evident,Flowered,2000,R184/T36,,,
Eucalyptus kochii subsp. amaryssia,D.Nicolle,2190,"Lake Barlee, WA",29,16,26,120,17,5,184,38,Alive,None evident,,None evident,Flowered,2000,R184/T38,,,
Eucalyptus kochii subsp. amaryssia,D.Nicolle,2190,"Lake Barlee, WA",29,16,26,120,17,5,184,39,Alive,None evident,,None evident,Flowered,2000,R184/T39,,,
Eucalyptus vicina (Mootwingie variant),D.Nicolle,2964,"Mootwingie 1, NSW",31,17,41,142,18,29,184,4,Alive,None evident,,None evident,Flowered,2000,R184/T04,,,
Eucalyptus kochii subsp. amaryssia,D.Nicolle,2190,"Lake Barlee, WA",29,16,26,120,17,5,184,40,Alive,None evident,,None evident,Flowered,2000,R184/T40,,,
Eucalyptus yalatensis ,D.Nicolle,2142,"Madura Pass, WA",31,53,43,126,58,50,184,5,Dead,,,,,2000,R184/T05,,,
Eucalyptus yalatensis ,D.Nicolle,2142,"Madura Pass, WA",31,53,43,126,58,50,184,6,Alive,None evident,,None evident,Flowered,2000,R184/T06,,,
Eucalyptus yalatensis ,D.Nicolle,2142,"Madura Pass, WA",31,53,43,126,58,50,184,7,Alive,None evident,,None evident,Flowered,2000,R184/T07,,,
Eucalyptus yalatensis ,D.Nicolle,2142,"Madura Pass, WA",31,53,43,126,58,50,184,8,Alive,None evident,,None evident,Flowered,2000,R184/T08,,,
Eucalyptus concinna (small fruit variant),D.Nicolle,2715,"Cosmo Newbery, WA",27,50,5,123,55,38,184,9,Alive,None evident,,None evident,Flowered,2000,R184/T09,,,
Eucalyptus comitae-vallis,D.Nicolle,2767,"Diemals Station, WA",29,29,58,119,14,44,185,1,Alive,None evident,,None evident,Flowered,2000,R185/T01,,,
Eucalyptus leptopoda subsp. subluta,D.Nicolle,2776,"Menzies, WA",29,29,6,121,4,40,185,10,Alive,None evident,,None evident,,2000,R185/T10,,,
Eucalyptus leptopoda subsp. subluta,D.Nicolle,2776,"Menzies, WA",29,29,6,121,4,40,185,11,Alive,None evident,,None evident,,2000,R185/T11,,,
Eucalyptus socialis subsp. eucentrica,D.Nicolle,2198,"Newman, WA",23,7,44,119,16,34,185,12,Alive,None evident,,None evident,Flowered,2000,R185/T12,,,
Eucalyptus socialis subsp. eucentrica,D.Nicolle,2198,"Newman, WA",23,7,44,119,16,34,185,13,Dead,,,,,2000,R185/T13,,,
Eucalyptus socialis subsp. eucentrica,D.Nicolle,2198,"Newman, WA",23,7,44,119,16,34,185,14,Alive,None evident,,None evident,Flowered,2000,R185/T14,,,
Eucalyptus socialis subsp. eucentrica,D.Nicolle,2198,"Newman, WA",23,7,44,119,16,34,185,15,Alive,None evident,,None evident,Flowered,2000,R185/T15,,,
Eucalyptus sp. 'Kitchener' (aff. horistes),D.Nicolle,2790,"Zanthus, WA",31,20,49,123,44,41,185,16,Alive,None evident,,None evident,Flowered,2000,R185/T16,,,
Eucalyptus sp. 'Kitchener' (aff. horistes),D.Nicolle,2790,"Zanthus, WA",31,20,49,123,44,41,185,17,Alive,None evident,,None evident,Flowered,2000,R185/T17,,,
Eucalyptus sp. 'Kitchener' (aff. horistes),D.Nicolle,2790,"Zanthus, WA",31,20,49,123,44,41,185,18,Alive,None evident,,None evident,Flowered,2000,R185/T18,,,
Eucalyptus sp. 'Kitchener' (aff. horistes),D.Nicolle,2790,"Zanthus, WA",31,20,49,123,44,41,185,19,Alive,None evident,,None evident,Flowered,2000,R185/T19,,,
Eucalyptus comitae-vallis,D.Nicolle,2767,"Diemals Station, WA",29,29,58,119,14,44,185,2,Alive,None evident,,None evident,Flowered,2000,R185/T02,,,
Eucalyptus sp. North Balladonia (aff. sheathiana),D.Nicolle,2795,"Pioneer Tank 1, WA",31,37,19,123,53,22,185,20,Dead,,,,,2000,R185/T20,,,
Eucalyptus sp. North Balladonia (aff. sheathiana),D.Nicolle,2795,"Pioneer Tank 1, WA",31,37,19,123,53,22,185,21,Dead,,,,,2000,R185/T21,,,
Eucalyptus salubris,D.Nicolle,2717,"Laverton, WA",28,33,32,122,29,17,185,22,Alive,None evident,,None evident,Flowered,2000,R185/T22,,,
Eucalyptus salubris,D.Nicolle,2717,"Laverton, WA",28,33,32,122,29,17,185,23,Alive,None evident,,None evident,Flowered,2000,R185/T23,,,
Eucalyptus salubris,D.Nicolle,2717,"Laverton, WA",28,33,32,122,29,17,185,24,Alive,None evident,,None evident,Flowered,2000,R185/T24,,,
Eucalyptus salubris,D.Nicolle,2717,"Laverton, WA",28,33,32,122,29,17,185,25,Alive,None evident,,None evident,Flowered,2000,R185/T25,,,
Eucalyptus sp. ser. Subulatae,-,-,Unknown origin,-,-,-,-,-,-,185,26,Alive,None evident,,None evident,Flowered,2000,R185/T26,,,
Eucalyptus sp. ser. Subulatae,-,-,Unknown origin,-,-,-,-,-,-,185,27,Alive,None evident,,None evident,Flowered,2000,R185/T27,,,
Eucalyptus coolabah,D.Nicolle,2957,"Wilcannia, NSW",31,34,29,143,23,26,185,28,Alive,None evident,,None evident,Flowered,2000,R185/T28,,,
Eucalyptus coolabah,D.Nicolle,2957,"Wilcannia, NSW",31,34,29,143,23,26,185,29,Alive,None evident,,None evident,Flowered,2000,R185/T29,,,
Eucalyptus comitae-vallis,D.Nicolle,2767,"Diemals Station, WA",29,29,58,119,14,44,185,3,Alive,None evident,,None evident,Flowered,2000,R185/T03,,,
Eucalyptus coolabah,D.Nicolle,2957,"Wilcannia, NSW",31,34,29,143,23,26,185,30,Alive,None evident,,None evident,Flowered,2000,R185/T30,,,
Eucalyptus coolabah,D.Nicolle,2957,"Wilcannia, NSW",31,34,29,143,23,26,185,31,Alive,None evident,,None evident,Flowered,2000,R185/T31,,,
Eucalyptus sp. 'Great Victoria Desert' (desert salicola),D.Nicolle,2730,"Balpe Lakes, WA",29,20,45,123,22,27,185,32,Alive,None evident,,None evident,Flowered,2000,R185/T32,,,
Eucalyptus sp. 'Great Victoria Desert' (desert salicola),D.Nicolle,2730,"Balpe Lakes, WA",29,20,45,123,22,27,185,33,Alive,None evident,,None evident,Flowered,2000,R185/T33,,,
Eucalyptus sp. 'Great Victoria Desert' (desert salicola),D.Nicolle,2730,"Balpe Lakes, WA",29,20,45,123,22,27,185,34,Alive,None evident,,None evident,Flowered,2000,R185/T34,,,
Eucalyptus sp. 'Great Victoria Desert' (desert salicola),D.Nicolle,2730,"Balpe Lakes, WA",29,20,45,123,22,27,185,35,Alive,None evident,,None evident,Flowered,2000,R185/T35,,,
Eucalyptus petraea,D.Nicolle,2761,"Diemals Station, WA",28,57,50,118,52,2,185,36,Dead,,,,,2000,R185/T36,,,
Eucalyptus petraea,D.Nicolle,2761,"Diemals Station, WA",28,57,50,118,52,2,185,37,Alive,None evident,,None evident,Flowered,2000,R185/T37,,,
Eucalyptus petraea,D.Nicolle,2761,"Diemals Station, WA",28,57,50,118,52,2,185,38,Alive,None evident,,None evident,Flowered,2000,R185/T38,,,
Eucalyptus petraea,D.Nicolle,2761,"Diemals Station, WA",28,57,50,118,52,2,185,39,Alive,None evident,,None evident,,2000,R185/T39,,,
Eucalyptus comitae-vallis,D.Nicolle,2767,"Diemals Station, WA",29,29,58,119,14,44,185,4,Alive,None evident,,None evident,Flowered,2000,R185/T04,,,
Eucalyptus balladoniensis subsp. sedens,D.Nicolle,2784,"Zanthus 2, WA",31,15,46,123,40,31,185,5,Dead,,,,,2000,R185/T05,,,
Eucalyptus balladoniensis subsp. sedens,D.Nicolle,2784,"Zanthus 2, WA",31,15,46,123,40,31,185,6,Alive,None evident,,None evident,Flowered,2000,R185/T06,,,
Eucalyptus balladoniensis subsp. sedens,D.Nicolle,2784,"Zanthus 2, WA",31,15,46,123,40,31,185,7,Alive,None evident,,None evident,Flowered,2000,R185/T07,,,
Eucalyptus balladoniensis subsp. sedens,D.Nicolle,2784,"Zanthus 2, WA",31,15,46,123,40,31,185,8,Alive,None evident,,None evident,Flowered,2000,R185/T08,,,
Eucalyptus leptopoda subsp. subluta,D.Nicolle,2776,"Menzies, WA",29,29,6,121,4,40,185,9,Dead,,,,,2000,R185/T09,,,
Eucalyptus capillosa,D.Nicolle,2192,"Lake Barlee, WA",29,11,49,120,14,10,186,1,Dead,,,,,2000,R186/T01,,,
Eucalyptus beardiana,D.Nicolle,2208,"Nerren Nerren, WA",27,7,44,114,33,12,186,10,Alive,None evident,,None evident,Flowered,2000,R186/T10,,,
Eucalyptus populnea subsp. bimbil,D.Nicolle,2954,"Nyngan, NSW",31,29,12,147,6,35,186,11,Alive,Slight,,None evident,,2000,R186/T11,,,
Eucalyptus populnea subsp. bimbil,D.Nicolle,2954,"Nyngan, NSW",31,29,12,147,6,35,186,12,Alive,Slight,,None evident,,2000,R186/T12,,,
Eucalyptus populnea subsp. bimbil,D.Nicolle,2954,"Nyngan, NSW",31,29,12,147,6,35,186,13,Alive,None evident,,None evident,Budded,2000,R186/T13,,,
Eucalyptus populnea subsp. bimbil,D.Nicolle,2954,"Nyngan, NSW",31,29,12,147,6,35,186,14,Alive,None evident,,None evident,,2000,R186/T14,,,
Corymbia dampieri,D.Nicolle,1900,"Legrange, WA",18,38,26,121,56,40,186,15,Dead,,,,,2000,R186/T15,,,
Corymbia dampieri,D.Nicolle,1900,"Legrange, WA",18,38,26,121,56,40,186,16,Dead,,,,,2000,R186/T16,,,
Corymbia dampieri,D.Nicolle,1900,"Legrange, WA",18,38,26,121,56,40,186,17,Dead,,,,,2000,R186/T17,,,
Corymbia dampieri,D.Nicolle,1900,"Legrange, WA",18,38,26,121,56,40,186,18,Dead,,,,,2000,R186/T18,,,
Eucalyptus educta,D.Nicolle,1562,"Dromedaries Hill 1, WA",29,55,44,117,52,29,186,19,Dead,,,,,2000,R186/T19,,,
Eucalyptus capillosa,D.Nicolle,2192,"Lake Barlee, WA",29,11,49,120,14,10,186,2,Alive,None evident,,None evident,Flowered,2000,R186/T02,,,
Eucalyptus educta,D.Nicolle,1562,"Dromedaries Hill 1, WA",29,55,44,117,52,29,186,20,Dead,,,,,2000,R186/T20,,,
Eucalyptus educta,D.Nicolle,1562,"Dromedaries Hill 1, WA",29,55,44,117,52,29,186,21,Dead,,,,,2000,R186/T21,,,
Eucalyptus sp. 'Cable Haul Road' (aff. hypolaena),D.Nicolle,2787,"Zanthus, WA",31,20,49,123,44,41,186,22,Alive,None evident,,None evident,Flowered,2000,R186/T22,,,
Eucalyptus sp. 'Cable Haul Road' (aff. hypolaena),D.Nicolle,2787,"Zanthus, WA",31,20,49,123,44,41,186,23,Alive,None evident,,None evident,Flowered,2000,R186/T23,,,
Eucalyptus sp. 'Cable Haul Road' (aff. hypolaena),D.Nicolle,2787,"Zanthus, WA",31,20,49,123,44,41,186,24,Alive,None evident,,None evident,Flowered,2000,R186/T24,,,
Eucalyptus sp. 'Cable Haul Road' (aff. hypolaena),D.Nicolle,2787,"Zanthus, WA",31,20,49,123,44,41,186,25,Alive,None evident,,None evident,Flowered,2000,R186/T25,,,
Eucalyptus orbifolia,D.Nicolle,2774,"Diemals Station, WA",29,37,14,118,54,44,186,26,Alive,None evident,,None evident,Flowered,2000,R186/T26,,,
Eucalyptus orbifolia,D.Nicolle,2774,"Diemals Station, WA",29,37,14,118,54,44,186,27,Alive,None evident,,None evident,Flowered,2000,R186/T27,,,
Eucalyptus orbifolia,D.Nicolle,2774,"Diemals Station, WA",29,37,14,118,54,44,186,28,Alive,Slight,,None evident,Flowered,2000,R186/T28,,,
Eucalyptus orbifolia,D.Nicolle,2774,"Diemals Station, WA",29,37,14,118,54,44,186,29,Alive,Slight,,None evident,Flowered,2000,R186/T29,,,
Eucalyptus capillosa,D.Nicolle,2192,"Lake Barlee, WA",29,11,49,120,14,10,186,3,Alive,None evident,,None evident,Flowered,2000,R186/T03,,,
Eucalyptus moderata,D.Nicolle,2182,"Menzies 1, WA",29,42,42,120,54,49,186,30,Alive,None evident,,None evident,Flowered,2000,R186/T30,,,
Eucalyptus moderata,D.Nicolle,2182,"Menzies 1, WA",29,42,42,120,54,49,186,31,Alive,None evident,,None evident,Flowered,2000,R186/T31,,,
Eucalyptus moderata,D.Nicolle,2182,"Menzies 1, WA",29,42,42,120,54,49,186,32,Dead,,,,,2000,R186/T32,,,
