UniqueID,Yearplanted,RowTree,Current.name,TaxonoriginalDN,Section,PackedForSequencing,Diam.1.Bark,Diam.2.Bark,Diam.1.peeled,Diam.2.peeled,Volume.wood,Leaf.dry.weight,Wood.dry.weight,Taxonsimplified_DN,Acceptedname_ALA,Note.Gbif,Taxonresolution_ALA,Collector,Provenance,Latitudedegrees,Latitudeminutes,Latitudeseconds,Longitudedegrees,Longitudeminutes,Longitudeseconds,Row,Tree,StatusFeb2016,Drought2019,Drought2019Scale,Drought2020,Drought2020Scale,Recovery2019.2020,Regrowth,RegrowthLocation,RegrowthAge,Regrowthdieback,Timesincedeath.June2019.,Drought2006,MaturityMar2020,Maturity.at.June.2019,Yearplanted,Drought2006Scale,latitude,longitude,Binomial.Dean.Nicolle,Stateoccurrence,Regeneration.Strategy,CCA,ai_et0,et0_yr,AICorrected,MAT,TWQ,TCQ,MAP,PWM,PDM,PS,PWarmQ,PDQ,PWetQ,PCQ,MDR,ISOT,TS,MaxTWM,MinTCM,TAR,MTWQ,MeanTDQ,et0_yr_corrected,PrecDeficit,ConsevationStatusNSW
427,1994,R042/T10,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,x,8.57,8.99,6.82,6.67,1.36,3.933,1.06,Eucalyptus sparsa,Eucalyptus sparsa,,Species,D.Nicolle,"Everard Ranges, SA",27,0,34,132,30,56,42,10,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-27.00944444,132.5155556,Eucalyptus sparsa,"SA,WA,NT",Lignotuber,Y,956,2886,0.0956,19.7625,26.9,12.03333,276,38,12,34.03615,103,45,92,46,13.675,45.73579,603.1212,34.8,4.9,29.9,26.28333,12.73333,0.2886,275.7114,
427,1994,R042/T11,Eucalyptus sparsa,Eucalyptus sparsa,Adnataria,x,6.07,6.02,4.37,4.26,0.71,3.2712,0.52,Eucalyptus sparsa,Eucalyptus sparsa,,Species,D.Nicolle,"Everard Ranges, SA",27,0,34,132,30,56,42,11,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-27.00944444,132.5155556,Eucalyptus sparsa,"SA,WA,NT",Lignotuber,Y,956,2886,0.0956,19.7625,26.9,12.03333,276,38,12,34.03615,103,45,92,46,13.675,45.73579,603.1212,34.8,4.9,29.9,26.28333,12.73333,0.2886,275.7114,
423,1994,R045/T14,Eucalyptus intertexta,Eucalyptus intertexta,Adnataria,x,7.39,7.52,6.15,6.07,1.46,2.5873,1,Eucalyptus intertexta,Eucalyptus intertexta,,Species,D.Nicolle,"Everard Ranges, SA",27,2,20,132,32,55,45,14,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-27.03888889,132.5486111,Eucalyptus intertexta,"NSW,SA,Qld, NT, WA",Combination,Y,934,2932,0.0934,19.89167,27.13333,12.03333,274,37,12,32.83533,101,46,91,46,14.5,46.77419,613.1618,35.4,4.4,31,26.5,12.71667,0.2932,273.7068,
423,1994,R045/T15,Eucalyptus intertexta,Eucalyptus intertexta,Adnataria,x,8.35,8.78,6.27,6.53,1.58,2.2672,1.08,Eucalyptus intertexta,Eucalyptus intertexta,,Species,D.Nicolle,"Everard Ranges, SA",27,2,20,132,32,55,45,15,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-27.03888889,132.5486111,Eucalyptus intertexta,"NSW,SA,Qld, NT, WA",Combination,Y,934,2932,0.0934,19.89167,27.13333,12.03333,274,37,12,32.83533,101,46,91,46,14.5,46.77419,613.1618,35.4,4.4,31,26.5,12.71667,0.2932,273.7068,
423,1994,R045/T16,Eucalyptus intertexta,Eucalyptus intertexta,Adnataria,x,8.53,9,6.05,5.69,1.33,2.3012,0.82,Eucalyptus intertexta,Eucalyptus intertexta,,Species,D.Nicolle,"Everard Ranges, SA",27,2,20,132,32,55,45,16,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-27.03888889,132.5486111,Eucalyptus intertexta,"NSW,SA,Qld, NT, WA",Combination,Y,934,2932,0.0934,19.89167,27.13333,12.03333,274,37,12,32.83533,101,46,91,46,14.5,46.77419,613.1618,35.4,4.4,31,26.5,12.71667,0.2932,273.7068,
742,1994,R046/T36,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,Adnataria,x,8.57,7.65,6.61,5.73,1.44,3.8141,0.99,Eucalyptus polyanthemos subsp. polyanthemos,Eucalyptus polyanthemos subsp. polyanthemos,,Subspecies,D.Nicolle,"Rylstone, NSW",32,41,37,150,0,10,46,36,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-32.69361111,150.0027778,Eucalyptus polyanthemos subsp. polyanthemos,NSW,Combination,Y,4899,1551,0.4899,14.15833,20.45,7.666667,760,93,42,20.11829,233,151,233,157,12,46.33205,514.6924,27.7,1.8,25.9,20.45,11.06667,0.1551,759.8449,
747,1994,R047/T05,Eucalyptus conica,Eucalyptus conica,Adnataria,x,13.42,14.13,10.85,11.93,5.15,2.8956,3.55,Eucalyptus conica,Eucalyptus conica,,Species,D.Nicolle,"Bylong, NSW",32,24,14,150,13,20,47,5,Alive,Slight,1,Slight,1,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,Slight,Flowered,Flowered,1994,1,-32.40388889,150.2222222,Eucalyptus conica,NSW,Combination,Y,3791,1722,0.3791,16.7875,23.01667,10.25,653,94,33,30.08189,227,121,227,122,12.30833,46.97837,514.1724,29.9,3.7,26.2,23.01667,13.66667,0.1722,652.8278,
747,1994,R047/T06,Eucalyptus conica,Eucalyptus conica,Adnataria,x,12.02,12.1,9.24,9.04,3,1.787,2.03,Eucalyptus conica,Eucalyptus conica,,Species,D.Nicolle,"Bylong, NSW",32,24,14,150,13,20,47,6,Alive,Slight,1,Slight,1,?,Scattered,Secondary & tertiary branches,3 - 6 months,None evident,,None evident,Flowered,Flowered,1994,0,-32.40388889,150.2222222,Eucalyptus conica,NSW,Combination,Y,3791,1722,0.3791,16.7875,23.01667,10.25,653,94,33,30.08189,227,121,227,122,12.30833,46.97837,514.1724,29.9,3.7,26.2,23.01667,13.66667,0.1722,652.8278,
747,1994,R047/T08,Eucalyptus conica,Eucalyptus conica,Adnataria,x,13.37,12.38,9.21,10.84,3.61,1.3188,2.41,Eucalyptus conica,Eucalyptus conica,,Species,D.Nicolle,"Bylong, NSW",32,24,14,150,13,20,47,8,Alive,Slight,1,Slight,1,?,None evident,,,,,Moderate,,,1994,2,-32.40388889,150.2222222,Eucalyptus conica,NSW,Combination,Y,3791,1722,0.3791,16.7875,23.01667,10.25,653,94,33,30.08189,227,121,227,122,12.30833,46.97837,514.1724,29.9,3.7,26.2,23.01667,13.66667,0.1722,652.8278,
743,1994,R047/T19,Eucalyptus dawsonii,Eucalyptus dawsonii,Adnataria,x,12.6,12.97,9.71,10.48,5.14,3.4601,3.28,Eucalyptus dawsonii,Eucalyptus dawsonii,,Species,D.Nicolle,"Ginghi, NSW",32,36,31,150,4,29,47,19,Alive,None evident,0,None evident,0,?,,,,,,None evident,Flowered,Flowered,1994,0,-32.60861111,150.0747222,Eucalyptus dawsonii,NSW,Combination,Y,4369,1590,0.4369,15.21667,21.3,8.916667,695,91,37,23.41216,222,135,222,136,11.15,45.3252,497.8971,27.8,3.2,24.6,21.3,12.28333,0.159,694.841,
